k,GMM,Kmeans
2,0.781148429035753,0.781148429035753
3,0.781148429035753,0.781148429035753
4,0.781148429035753,0.781148429035753
5,0.781148429035753,0.781148429035753
6,0.781148429035753,0.7833152762730228
7,0.7930660888407367,0.8028169014084507
8,0.7941495124593716,0.8039003250270856
9,0.7908992416034669,0.8049837486457205
10,0.7941495124593716,0.7930660888407367
15,0.7919826652221018,0.8049837486457205
20,0.7995666305525461,0.8060671722643553
25,0.8071505958829902,0.8147345612134345
30,0.80931744312026,0.8201516793066089
35,0.8071505958829902,0.819068255687974
40,0.8136511375947996,0.8169014084507042
