k,GMM,Kmeans
2,0.137131545281314,0.13385097569745372
3,0.08216657692541743,0.08292354276130907
4,0.0675756269417146,0.06754879021283562
5,0.05858312001790605,0.060353398029875716
6,0.0623843997857946,0.0630785794493446
7,0.06366709203606609,0.06584874023579428
8,0.05515024994566987,0.060762210141293155
9,0.054764082378112686,0.05800326923850009
10,0.05139785926352595,0.05008838706592665
15,0.04518077196824998,0.04462501335008868
20,0.043576670164122595,0.04244001115767945
25,0.0414933135961287,0.041681738494322315
30,0.03818541964050277,0.040670787328623725
35,0.03626889680048577,0.038979854215535285
40,0.03637739609554367,0.0359984094658334
