k,type,score,label
2,Kmeans,0.37898,1
2,Kmeans,0.291506,1
2,Kmeans,0.451839,0
2,Kmeans,0.529318,0
2,Kmeans,0.129512,0
2,Kmeans,0.038388,1
2,Kmeans,0.412383,1
2,Kmeans,0.205222,1
2,Kmeans,0.249943,0
2,Kmeans,0.067858,1
2,Kmeans,0.14092,0
2,Kmeans,0.523603,0
2,Kmeans,0.428839,0
2,Kmeans,0.3297,1
2,Kmeans,0.341565,0
2,Kmeans,0.558954,0
2,Kmeans,0.319312,0
2,Kmeans,0.257985,1
2,Kmeans,0.227234,0
2,Kmeans,0.437056,1
2,Kmeans,0.17767,0
2,Kmeans,0.543827,0
2,Kmeans,0.205988,0
2,Kmeans,0.438275,1
2,Kmeans,0.531958,0
2,Kmeans,0.469546,0
2,Kmeans,0.233892,0
2,Kmeans,0.437821,0
2,Kmeans,0.17912,1
2,Kmeans,0.517817,0
2,Kmeans,0.087172,0
2,Kmeans,0.554415,0
2,Kmeans,0.467133,1
2,Kmeans,0.086026,1
2,Kmeans,0.505219,1
2,Kmeans,0.407535,0
2,Kmeans,0.481766,1
2,Kmeans,0.048932,0
2,Kmeans,0.081874,0
2,Kmeans,0.405459,1
2,Kmeans,0.450376,1
2,Kmeans,0.119743,0
2,Kmeans,0.389956,1
2,Kmeans,0.556483,0
2,Kmeans,0.361293,0
2,Kmeans,0.233452,0
2,Kmeans,-0.003068,1
2,Kmeans,0.498376,0
2,Kmeans,0.484832,1
2,Kmeans,0.258556,0
2,Kmeans,0.075514,1
2,Kmeans,0.44922,0
2,Kmeans,0.561973,0
2,Kmeans,0.126078,1
2,Kmeans,0.51925,0
2,Kmeans,0.444086,0
2,Kmeans,0.373443,1
2,Kmeans,0.200557,1
2,Kmeans,0.249158,1
2,Kmeans,0.528303,0
2,Kmeans,0.141557,0
2,Kmeans,0.053355,1
2,Kmeans,0.29584,0
2,Kmeans,0.30766,0
2,Kmeans,0.169307,0
2,Kmeans,0.428079,0
2,Kmeans,0.505089,1
2,Kmeans,0.549878,0
2,Kmeans,0.097963,0
2,Kmeans,0.027961,1
2,Kmeans,0.400324,1
2,Kmeans,0.268776,1
2,Kmeans,0.151143,0
2,Kmeans,0.476797,0
2,Kmeans,0.284301,0
2,Kmeans,0.484859,1
2,Kmeans,0.552955,0
2,Kmeans,0.432815,0
2,Kmeans,0.442852,1
2,Kmeans,0.261117,1
2,Kmeans,0.375428,1
2,Kmeans,0.488453,0
2,Kmeans,0.367988,1
2,Kmeans,0.144681,0
2,Kmeans,0.45696,0
2,Kmeans,0.193348,1
2,Kmeans,0.418059,1
2,Kmeans,0.181946,0
2,Kmeans,0.24086,1
2,Kmeans,0.432706,0
2,Kmeans,0.328813,1
2,Kmeans,0.559212,0
2,Kmeans,0.20325,0
2,Kmeans,0.128889,1
2,Kmeans,0.192238,1
2,Kmeans,0.270611,0
2,Kmeans,0.126487,0
2,Kmeans,0.423605,0
2,Kmeans,0.191166,1
2,Kmeans,0.46683,0
2,Kmeans,0.327966,0
2,Kmeans,0.29191,1
2,Kmeans,0.417128,1
2,Kmeans,0.497492,0
2,Kmeans,0.436937,1
2,Kmeans,0.340738,0
2,Kmeans,0.487179,0
2,Kmeans,0.343206,1
2,Kmeans,0.130644,1
2,Kmeans,0.479999,1
2,Kmeans,0.558324,0
2,Kmeans,0.481942,1
2,Kmeans,0.506577,1
2,Kmeans,0.235464,0
2,Kmeans,0.361184,0
2,Kmeans,0.495272,0
2,Kmeans,0.519471,0
2,Kmeans,0.525789,0
2,Kmeans,0.384902,0
2,Kmeans,0.42973,1
2,Kmeans,0.443072,0
2,Kmeans,0.092305,1
2,Kmeans,0.482895,0
2,Kmeans,0.514266,0
2,Kmeans,0.552804,0
2,Kmeans,0.455616,1
2,Kmeans,0.114712,1
2,Kmeans,0.071634,0
2,Kmeans,0.388487,0
2,Kmeans,0.342927,1
2,Kmeans,0.219555,0
2,Kmeans,0.378864,1
2,Kmeans,0.102558,0
2,Kmeans,0.506473,0
2,Kmeans,0.277553,0
2,Kmeans,0.550854,0
2,Kmeans,0.454032,1
2,Kmeans,0.531985,0
2,Kmeans,0.506187,0
2,Kmeans,0.039727,1
2,Kmeans,0.402006,1
2,Kmeans,0.249374,0
2,Kmeans,0.453072,1
2,Kmeans,0.019455,1
2,Kmeans,0.254556,0
2,Kmeans,0.230551,1
2,Kmeans,0.134625,0
2,Kmeans,0.526416,0
2,Kmeans,0.209124,0
2,Kmeans,0.505188,0
2,Kmeans,0.536681,0
2,Kmeans,0.394498,0
2,Kmeans,0.418705,1
2,Kmeans,0.360293,0
2,Kmeans,0.156512,0
2,Kmeans,0.461036,0
2,Kmeans,0.2392,1
2,Kmeans,0.279935,0
2,Kmeans,0.403574,0
2,Kmeans,0.389039,0
2,Kmeans,0.298551,1
2,Kmeans,0.409447,0
2,Kmeans,0.299251,1
2,Kmeans,0.507951,1
2,Kmeans,0.043158,1
2,Kmeans,0.473401,1
2,Kmeans,0.220426,1
2,Kmeans,0.416355,0
2,Kmeans,0.334641,0
2,Kmeans,0.496953,1
2,Kmeans,0.205599,0
2,Kmeans,0.471759,1
2,Kmeans,0.292696,0
2,Kmeans,0.464353,1
2,Kmeans,-0.019333,1
2,Kmeans,0.321321,1
2,Kmeans,0.509753,1
2,Kmeans,0.459401,0
2,Kmeans,0.559956,0
2,Kmeans,0.093553,1
2,Kmeans,0.191595,0
2,Kmeans,0.052854,0
2,Kmeans,0.399833,0
2,Kmeans,-0.045561,1
2,Kmeans,0.452156,1
2,Kmeans,0.426127,1
