k,GMM,Kmeans
2,0.35039263538799686,0.34805655392580387
3,0.32615491923085216,0.3600406861944296
4,0.3099976555235765,0.33590432998400754
5,0.32856745619785144,0.3249881013174012
6,0.3435054365456367,0.35054795746480816
7,0.32662771925873113,0.34216488706737647
8,0.3220207665339905,0.3325472789661883
9,0.31359125259846304,0.32830958612586175
10,0.32011531159596135,0.3315988982308238
15,0.30634304299267756,0.326994539637803
20,0.31372164296346805,0.3326609254524711
25,0.31063745559887246,0.33423264907223105
30,0.311136602828418,0.331213301749242
35,0.31330036328334054,0.33809694111941047
40,0.3048578203015651,0.3417669163958445
