k,GMM,Kmeans
2,0.20817084493964716,0.20724233983286908
3,0.29953574744661093,0.30176415970287834
4,0.40352831940575673,0.39442896935933147
5,0.4856081708449396,0.4181987000928505
6,0.5283194057567316,0.5390900649953575
7,0.5840297121634169,0.5643454038997214
8,0.6492107706592386,0.6308263695450325
9,0.7023212627669452,0.6726090993500464
10,0.7838440111420613,0.7246053853296193
15,0.8633240482822655,0.8304549675023213
20,0.8692664809656453,0.8525533890436398
25,0.8967502321262767,0.8480965645311049
30,0.8909935004642525,0.8501392757660167
35,0.9067780872794801,0.8733519034354689
40,0.9175487465181058,0.8820798514391829
