k,GMM,Kmeans
2,0.18403952842988064,0.15235570722078295
3,0.3253288983101665,0.28932236769962366
4,0.46430954407013725,0.39635228478286316
5,0.5347171685084396,0.43792684189613545
6,0.5572927178496321,0.506896267309812
7,0.588158388494094,0.515007250726534
8,0.6325393986578499,0.568773737649183
9,0.6865621233886549,0.6050962354583396
10,0.7664530885389841,0.6600337567922019
15,0.7166911016198803,0.6664738081315575
20,0.6855102609029003,0.6235051247405786
25,0.651264434459584,0.584528360356292
30,0.6287376295499527,0.5626612959604993
35,0.6091744075466877,0.5540543951058585
40,0.5862181763003145,0.5396130533319254
