k,type,score,label
2,Kmeans,0.314636,0
2,Kmeans,0.006674,1
2,Kmeans,0.091506,1
2,Kmeans,0.274909,0
2,Kmeans,0.078409,1
2,Kmeans,0.249831,0
2,Kmeans,0.264747,0
2,Kmeans,0.160443,1
2,Kmeans,0.241308,0
2,Kmeans,0.127488,1
2,Kmeans,0.055768,1
2,Kmeans,0.128162,1
2,Kmeans,0.097595,1
2,Kmeans,0.143705,1
2,Kmeans,0.149168,0
2,Kmeans,0.146229,1
2,Kmeans,0.127246,1
2,Kmeans,0.084187,1
2,Kmeans,0.282124,0
2,Kmeans,0.206839,0
2,Kmeans,0.128582,1
2,Kmeans,0.258577,0
2,Kmeans,0.101815,1
2,Kmeans,0.056943,1
2,Kmeans,0.081554,1
2,Kmeans,0.047772,1
2,Kmeans,0.291235,0
2,Kmeans,0.131478,1
2,Kmeans,0.245019,0
2,Kmeans,0.14057,0
2,Kmeans,0.094983,1
2,Kmeans,-0.018109,1
2,Kmeans,0.128662,1
2,Kmeans,-0.009776,1
2,Kmeans,0.278448,0
2,Kmeans,0.239078,0
2,Kmeans,0.337825,0
2,Kmeans,0.074658,1
2,Kmeans,0.106189,1
2,Kmeans,0.212998,0
2,Kmeans,0.089001,1
2,Kmeans,0.188649,0
2,Kmeans,0.038131,0
2,Kmeans,0.097897,1
2,Kmeans,-0.033903,1
2,Kmeans,0.093249,1
2,Kmeans,0.107425,1
2,Kmeans,0.103856,1
2,Kmeans,0.039314,1
2,Kmeans,0.080255,1
2,Kmeans,0.019287,1
2,Kmeans,0.270103,0
2,Kmeans,0.081133,1
2,Kmeans,0.264331,0
2,Kmeans,0.084273,1
2,Kmeans,0.118117,1
2,Kmeans,0.126996,1
2,Kmeans,0.245266,0
2,Kmeans,0.143432,0
2,Kmeans,0.119385,1
2,Kmeans,0.189814,0
2,Kmeans,0.092635,1
2,Kmeans,0.124726,1
2,Kmeans,0.199263,0
2,Kmeans,0.063047,0
2,Kmeans,0.113949,1
2,Kmeans,0.074937,1
2,Kmeans,0.136417,1
2,Kmeans,0.035682,1
2,Kmeans,0.320371,0
2,Kmeans,0.059048,0
2,Kmeans,0.054561,0
2,Kmeans,0.088682,1
2,Kmeans,0.108228,0
2,Kmeans,-0.042956,1
2,Kmeans,0.275247,0
2,Kmeans,0.136882,1
2,Kmeans,0.086137,0
2,Kmeans,0.059047,0
2,Kmeans,0.091945,1
2,Kmeans,0.069696,1
2,Kmeans,0.030897,1
2,Kmeans,0.0747,1
2,Kmeans,0.074916,1
2,Kmeans,0.051651,1
2,Kmeans,0.209051,0
2,Kmeans,0.086558,1
2,Kmeans,0.093145,1
2,Kmeans,0.184957,0
2,Kmeans,0.110478,1
2,Kmeans,0.178803,0
2,Kmeans,0.182159,0
2,Kmeans,0.22904,0
2,Kmeans,0.164422,0
2,Kmeans,0.252369,0
2,Kmeans,0.160738,1
2,Kmeans,-0.01331,1
2,Kmeans,0.15383,1
2,Kmeans,0.073899,1
2,Kmeans,0.11418,1
2,Kmeans,0.251208,0
2,Kmeans,0.012427,1
2,Kmeans,0.251181,0
2,Kmeans,0.040919,1
2,Kmeans,0.093631,1
2,Kmeans,0.077974,0
2,Kmeans,0.133801,1
2,Kmeans,0.337552,0
2,Kmeans,0.082612,1
2,Kmeans,0.118146,1
2,Kmeans,0.257485,0
2,Kmeans,0.049239,1
2,Kmeans,0.111271,1
2,Kmeans,0.080439,1
2,Kmeans,0.090349,0
2,Kmeans,0.111875,0
2,Kmeans,0.247415,0
2,Kmeans,0.304236,0
2,Kmeans,0.099009,1
2,Kmeans,0.293448,0
2,Kmeans,0.070638,1
2,Kmeans,0.070708,1
2,Kmeans,0.242519,0
2,Kmeans,0.036554,1
2,Kmeans,0.072147,1
2,Kmeans,0.080398,1
2,Kmeans,0.176433,0
2,Kmeans,0.224267,0
2,Kmeans,0.142542,1
2,Kmeans,0.130264,1
2,Kmeans,0.00938,1
2,Kmeans,0.147726,0
2,Kmeans,0.090873,1
2,Kmeans,0.128515,1
2,Kmeans,0.294385,0
2,Kmeans,0.12074,1
2,Kmeans,0.083938,1
2,Kmeans,0.152807,1
2,Kmeans,0.092111,1
2,Kmeans,0.063174,0
2,Kmeans,0.078624,1
2,Kmeans,0.106892,1
2,Kmeans,0.122163,1
2,Kmeans,0.033229,1
2,Kmeans,0.049338,1
2,Kmeans,0.184455,0
2,Kmeans,0.106347,0
2,Kmeans,0.187217,0
2,Kmeans,0.066231,1
2,Kmeans,0.074308,1
2,Kmeans,0.281735,0
2,Kmeans,0.205834,0
2,Kmeans,0.097661,0
2,Kmeans,0.115606,0
2,Kmeans,0.11871,0
2,Kmeans,0.06945,1
2,Kmeans,0.065845,0
2,Kmeans,-0.014816,1
2,Kmeans,0.097592,1
2,Kmeans,0.038516,1
2,Kmeans,0.083451,1
2,Kmeans,0.212272,0
2,Kmeans,0.038219,1
2,Kmeans,0.023122,1
2,Kmeans,-0.015334,1
2,Kmeans,0.199085,0
2,Kmeans,0.221553,0
2,Kmeans,0.075358,1
2,Kmeans,0.135611,0
2,Kmeans,0.119522,1
2,Kmeans,0.076696,1
2,Kmeans,0.11748,1
2,Kmeans,0.089513,1
2,Kmeans,0.00723,1
2,Kmeans,0.255033,0
2,Kmeans,0.224853,0
2,Kmeans,0.052247,1
2,Kmeans,0.156306,1
2,Kmeans,0.092583,1
2,Kmeans,0.051921,0
2,Kmeans,0.055285,1
2,Kmeans,0.179805,0
2,Kmeans,0.14755,0
2,Kmeans,0.215767,0
2,Kmeans,0.059117,1
2,Kmeans,0.069822,1
2,Kmeans,0.044571,1
2,Kmeans,0.257632,0
2,Kmeans,0.274401,0
2,Kmeans,0.088641,1
2,Kmeans,0.328507,0
2,Kmeans,0.310622,0
2,Kmeans,0.120368,1
2,Kmeans,0.111759,0
2,Kmeans,0.053957,1
2,Kmeans,0.327137,0
2,Kmeans,0.211474,0
2,Kmeans,0.078778,1
2,Kmeans,0.141169,0
2,Kmeans,0.167753,0
2,Kmeans,0.224132,0
2,Kmeans,0.108943,1
2,Kmeans,0.215305,0
2,Kmeans,0.162975,0
2,Kmeans,0.037031,1
2,Kmeans,0.269222,0
2,Kmeans,0.009239,1
2,Kmeans,0.039811,1
2,Kmeans,0.331632,0
2,Kmeans,-0.020086,1
2,Kmeans,0.2228,0
2,Kmeans,0.127067,1
2,Kmeans,0.195585,0
2,Kmeans,0.087931,1
2,Kmeans,0.130985,1
2,Kmeans,0.089354,1
2,Kmeans,0.270408,0
2,Kmeans,0.04522,1
2,Kmeans,0.102961,1
2,Kmeans,0.120467,0
2,Kmeans,0.260185,0
2,Kmeans,0.093241,1
2,Kmeans,0.230158,0
2,Kmeans,0.119504,1
2,Kmeans,0.148766,1
2,Kmeans,0.31789,0
2,Kmeans,0.116719,1
2,Kmeans,0.128441,1
2,Kmeans,0.313316,0
2,Kmeans,0.063475,1
2,Kmeans,0.099632,1
2,Kmeans,0.082158,1
2,Kmeans,0.174099,1
2,Kmeans,0.091299,1
2,Kmeans,0.011522,1
2,Kmeans,0.105039,1
2,Kmeans,0.242168,0
2,Kmeans,0.113793,1
2,Kmeans,0.247439,0
2,Kmeans,0.29798,0
2,Kmeans,0.051572,1
2,Kmeans,0.091886,1
2,Kmeans,0.11044,1
2,Kmeans,0.280894,0
2,Kmeans,0.071711,1
2,Kmeans,0.205262,0
2,Kmeans,0.029986,1
2,Kmeans,0.07469,0
2,Kmeans,-0.006969,1
2,Kmeans,0.202237,0
2,Kmeans,0.26578,0
2,Kmeans,0.157142,0
2,Kmeans,0.32883,0
2,Kmeans,0.144325,1
2,Kmeans,0.240644,0
2,Kmeans,0.123275,1
2,Kmeans,0.155859,1
2,Kmeans,0.110855,1
2,Kmeans,0.085672,1
2,Kmeans,0.094862,1
2,Kmeans,0.167843,0
2,Kmeans,0.09863,1
2,Kmeans,0.181516,0
2,Kmeans,0.217259,0
2,Kmeans,0.192109,0
2,Kmeans,0.121288,1
2,Kmeans,0.146028,1
2,Kmeans,0.152267,0
2,Kmeans,0.268418,0
2,Kmeans,0.066589,1
2,Kmeans,0.095736,0
2,Kmeans,0.08345,1
2,Kmeans,0.321693,0
2,Kmeans,0.332846,0
2,Kmeans,0.110421,1
2,Kmeans,0.343402,0
2,Kmeans,0.00342,1
2,Kmeans,0.163144,0
2,Kmeans,0.004706,1
2,Kmeans,0.134928,1
2,Kmeans,0.05634,1
2,Kmeans,0.09414,1
2,Kmeans,0.082841,1
2,Kmeans,0.109248,1
2,Kmeans,0.133263,1
2,Kmeans,0.085622,1
2,Kmeans,0.262875,0
2,Kmeans,0.117402,1
2,Kmeans,-0.01204,1
2,Kmeans,-0.086843,1
2,Kmeans,0.236429,0
2,Kmeans,0.12535,1
2,Kmeans,0.038264,1
2,Kmeans,0.094435,1
2,Kmeans,0.096782,1
2,Kmeans,0.177558,0
2,Kmeans,0.116523,1
2,Kmeans,0.255545,0
2,Kmeans,0.10263,1
2,Kmeans,0.073336,1
2,Kmeans,0.078585,1
2,Kmeans,0.07478,1
2,Kmeans,0.091033,0
2,Kmeans,0.074386,1
2,Kmeans,0.143524,0
2,Kmeans,0.136777,1
2,Kmeans,0.044114,1
2,Kmeans,0.166037,0
2,Kmeans,0.129185,1
2,Kmeans,0.094692,0
2,Kmeans,0.217943,0
2,Kmeans,0.094832,1
2,Kmeans,0.07745,1
2,Kmeans,0.15025,0
2,Kmeans,0.042858,1
2,Kmeans,0.082362,1
2,Kmeans,0.067514,1
2,Kmeans,0.158035,1
2,Kmeans,0.114651,0
2,Kmeans,0.066884,1
2,Kmeans,0.04226,1
2,Kmeans,0.104858,1
2,Kmeans,0.298019,0
2,Kmeans,0.079709,1
2,Kmeans,0.086879,1
2,Kmeans,0.212546,0
2,Kmeans,0.139001,1
2,Kmeans,0.326526,0
2,Kmeans,0.195675,0
2,Kmeans,0.067666,1
2,Kmeans,0.093716,1
2,Kmeans,0.076765,1
2,Kmeans,0.125599,1
2,Kmeans,0.256455,0
2,Kmeans,0.106286,1
2,Kmeans,0.189564,0
2,Kmeans,0.114347,1
2,Kmeans,0.273387,0
2,Kmeans,0.140637,0
2,Kmeans,0.107975,1
2,Kmeans,0.117301,1
2,Kmeans,0.080292,1
2,Kmeans,0.014998,1
