k,GMM,Kmeans
2,0.12686125591448147,0.12564010228727518
3,0.15037906357446942,0.15826443193227221
4,0.1347170812327497,0.16863035270881488
5,0.16269443920085164,0.18685662952764
6,0.18462569450869806,0.21256724689551976
7,0.1768070027883912,0.21918522061877407
8,0.18521340933094121,0.24298730416671074
9,0.21391282677165924,0.25637389287637274
10,0.21559296014242535,0.2634502473535108
15,0.23899400782014443,0.27699593343706064
20,0.24424322723961617,0.27292817508093886
25,0.22938674163168546,0.2532297774310782
30,0.21432471688916832,0.24571334027512087
35,0.19962629332096038,0.24711141756272056
40,0.1993408819446594,0.24383582028077908
