k,GMM,Kmeans
2,0.781148429035753,0.781148429035753
3,0.781148429035753,0.781148429035753
4,0.781148429035753,0.781148429035753
5,0.7930660888407367,0.781148429035753
6,0.7930660888407367,0.781148429035753
7,0.7854821235102926,0.80931744312026
8,0.8028169014084507,0.7995666305525461
9,0.8082340195016251,0.8071505958829902
10,0.8017334777898159,0.8104008667388949
15,0.8179848320693391,0.8104008667388949
20,0.8136511375947996,0.819068255687974
25,0.8169014084507042,0.8147345612134345
30,0.8136511375947996,0.8147345612134345
35,0.8179848320693391,0.819068255687974
40,0.8223185265438786,0.8255687973997833
