k,GMM,Kmeans
2,0.12567378853769423,0.12414080756384525
3,0.0835426273336657,0.08776847377902576
4,0.06339128702937939,0.06995790735956517
5,0.0694095109954671,0.0620431830680563
6,0.06580144589779093,0.057319979324727544
7,0.05815671394468226,0.060935628727994615
8,0.05646447612279504,0.05639574462294459
9,0.05706282401677696,0.05486167343992746
10,0.055124758062746484,0.054723915566915506
15,0.04785151563379088,0.04578179413386224
20,0.043017917029111,0.042658263984893786
25,0.04058907756363142,0.03869428956241811
30,0.03798635160620661,0.03817106709731185
35,0.03738726019055151,0.03649076875952332
40,0.03579226557139922,0.03474609182247883
