k,type,score,label
2,Kmeans,0.485209,1
2,Kmeans,0.18011,0
2,Kmeans,0.419181,0
2,Kmeans,0.544715,0
2,Kmeans,0.215352,1
2,Kmeans,0.268481,0
2,Kmeans,0.449603,0
2,Kmeans,0.411203,1
2,Kmeans,0.459798,1
2,Kmeans,0.591429,1
2,Kmeans,0.29575,0
2,Kmeans,0.314327,0
2,Kmeans,0.530489,1
2,Kmeans,0.421492,0
2,Kmeans,0.382329,0
2,Kmeans,0.382704,1
2,Kmeans,0.585803,1
2,Kmeans,0.54774,1
2,Kmeans,0.525018,1
2,Kmeans,0.525641,1
2,Kmeans,0.297709,1
2,Kmeans,0.424816,0
2,Kmeans,0.599617,1
2,Kmeans,0.189011,1
2,Kmeans,0.163038,1
2,Kmeans,0.471863,0
2,Kmeans,0.314491,1
2,Kmeans,0.579383,1
2,Kmeans,0.418814,0
2,Kmeans,0.233138,0
2,Kmeans,0.30982,1
2,Kmeans,0.015442,0
2,Kmeans,-0.007503,0
2,Kmeans,0.168532,1
2,Kmeans,0.318944,0
2,Kmeans,0.554715,0
2,Kmeans,0.581766,1
2,Kmeans,0.489408,1
2,Kmeans,0.536045,1
2,Kmeans,0.547313,1
2,Kmeans,0.343473,0
2,Kmeans,-0.030891,0
2,Kmeans,0.496511,1
2,Kmeans,0.49022,1
2,Kmeans,0.533066,1
2,Kmeans,0.267873,1
2,Kmeans,0.576482,1
2,Kmeans,0.060639,1
2,Kmeans,0.549516,0
2,Kmeans,0.314606,0
2,Kmeans,0.432044,0
2,Kmeans,0.368295,1
2,Kmeans,0.439314,1
2,Kmeans,0.4728,0
2,Kmeans,0.037701,1
2,Kmeans,0.344822,0
2,Kmeans,0.597523,1
2,Kmeans,0.525558,1
2,Kmeans,0.558877,1
2,Kmeans,0.501133,1
2,Kmeans,0.186302,0
2,Kmeans,0.189653,0
2,Kmeans,0.34004,1
2,Kmeans,0.528096,0
2,Kmeans,0.591278,1
2,Kmeans,0.473653,1
2,Kmeans,0.584536,1
2,Kmeans,0.541489,0
2,Kmeans,0.161395,1
2,Kmeans,0.602994,1
2,Kmeans,0.564758,1
2,Kmeans,0.371445,0
2,Kmeans,0.396203,0
2,Kmeans,0.510928,0
2,Kmeans,0.503122,0
2,Kmeans,0.385035,0
2,Kmeans,0.482111,0
2,Kmeans,0.54944,0
2,Kmeans,0.598689,1
2,Kmeans,0.49646,0
2,Kmeans,0.529475,0
2,Kmeans,0.522624,1
2,Kmeans,0.178151,0
2,Kmeans,0.592826,1
2,Kmeans,0.419512,0
2,Kmeans,0.321264,0
2,Kmeans,0.238844,0
2,Kmeans,0.601286,1
2,Kmeans,0.02728,0
2,Kmeans,0.168578,1
2,Kmeans,0.492295,1
2,Kmeans,0.138214,1
2,Kmeans,0.540504,1
2,Kmeans,0.538017,0
2,Kmeans,0.398453,0
2,Kmeans,0.224517,0
2,Kmeans,0.491056,0
2,Kmeans,0.546937,0
2,Kmeans,0.119185,1
2,Kmeans,0.046295,0
2,Kmeans,0.477487,1
2,Kmeans,0.363932,1
2,Kmeans,0.592294,1
2,Kmeans,0.493632,1
2,Kmeans,0.526816,0
2,Kmeans,0.507321,1
2,Kmeans,0.319594,1
2,Kmeans,0.588591,1
2,Kmeans,0.443595,0
2,Kmeans,-0.020743,0
2,Kmeans,0.561141,1
2,Kmeans,0.457264,1
2,Kmeans,0.081685,1
2,Kmeans,0.477855,1
2,Kmeans,0.487962,0
2,Kmeans,0.341757,1
2,Kmeans,0.301915,1
2,Kmeans,0.557947,1
2,Kmeans,0.555088,1
2,Kmeans,0.558485,1
2,Kmeans,0.077046,0
2,Kmeans,0.54059,0
2,Kmeans,0.510693,1
2,Kmeans,0.362168,0
2,Kmeans,0.519456,0
2,Kmeans,0.555019,0
2,Kmeans,0.422203,0
2,Kmeans,0.543964,0
2,Kmeans,0.592204,1
2,Kmeans,0.447185,0
2,Kmeans,0.418787,0
2,Kmeans,0.352854,0
2,Kmeans,0.57716,1
2,Kmeans,0.348237,1
2,Kmeans,0.156446,0
2,Kmeans,0.519866,0
2,Kmeans,0.357447,0
2,Kmeans,0.395561,0
2,Kmeans,0.550566,0
2,Kmeans,0.544221,1
2,Kmeans,0.057434,1
2,Kmeans,0.157935,1
2,Kmeans,0.048714,1
2,Kmeans,0.462529,0
2,Kmeans,0.242087,1
2,Kmeans,0.207397,0
2,Kmeans,0.245184,0
2,Kmeans,0.516276,0
2,Kmeans,0.525847,1
2,Kmeans,0.53606,0
2,Kmeans,0.196386,0
2,Kmeans,0.139675,0
2,Kmeans,0.486814,1
2,Kmeans,0.415327,0
2,Kmeans,0.291617,0
2,Kmeans,0.539206,0
2,Kmeans,0.193919,1
2,Kmeans,0.499669,1
2,Kmeans,0.533705,1
2,Kmeans,0.158384,0
2,Kmeans,0.570525,1
2,Kmeans,0.491177,1
2,Kmeans,0.452249,1
2,Kmeans,0.178646,1
2,Kmeans,0.395672,1
2,Kmeans,0.415483,1
2,Kmeans,0.43757,0
2,Kmeans,0.3742,1
2,Kmeans,0.35567,1
2,Kmeans,0.21802,1
2,Kmeans,0.425767,1
2,Kmeans,0.43472,1
2,Kmeans,0.488066,0
2,Kmeans,0.532852,0
2,Kmeans,0.00676,0
2,Kmeans,0.426484,0
2,Kmeans,0.338656,0
2,Kmeans,0.450776,0
2,Kmeans,0.182078,1
2,Kmeans,0.579158,1
2,Kmeans,0.481567,0
2,Kmeans,0.282267,0
2,Kmeans,0.520504,1
2,Kmeans,0.436638,0
2,Kmeans,0.513177,0
2,Kmeans,0.511038,1
2,Kmeans,0.507016,1
2,Kmeans,0.602333,1
2,Kmeans,0.383528,0
2,Kmeans,0.531036,1
2,Kmeans,0.466643,1
2,Kmeans,0.314826,1
2,Kmeans,0.438519,1
2,Kmeans,0.335892,1
2,Kmeans,0.19234,0
2,Kmeans,0.074534,1
2,Kmeans,0.602809,1
2,Kmeans,0.31881,0
2,Kmeans,0.475917,1
2,Kmeans,0.217909,0
2,Kmeans,0.213561,0
2,Kmeans,0.060341,0
2,Kmeans,0.178425,1
2,Kmeans,0.595214,1
2,Kmeans,0.515416,0
2,Kmeans,0.440911,0
2,Kmeans,0.468231,0
2,Kmeans,0.390516,1
2,Kmeans,0.521065,1
2,Kmeans,0.457891,1
2,Kmeans,0.429383,1
2,Kmeans,0.255856,0
2,Kmeans,0.399639,0
2,Kmeans,0.510865,1
2,Kmeans,0.252088,0
2,Kmeans,0.016335,1
2,Kmeans,0.111064,1
2,Kmeans,0.533871,1
2,Kmeans,0.508768,1
2,Kmeans,0.536073,0
2,Kmeans,0.366129,1
2,Kmeans,0.589978,1
2,Kmeans,0.06535,1
2,Kmeans,0.251931,1
2,Kmeans,0.184722,1
2,Kmeans,0.205515,1
2,Kmeans,0.110394,1
2,Kmeans,0.330853,0
2,Kmeans,0.123772,0
2,Kmeans,0.560056,1
2,Kmeans,0.148327,0
2,Kmeans,0.496884,0
2,Kmeans,0.540762,1
2,Kmeans,0.083543,1
2,Kmeans,0.333417,0
2,Kmeans,0.585304,1
2,Kmeans,0.339959,0
2,Kmeans,0.550705,0
2,Kmeans,0.583705,1
2,Kmeans,0.088757,0
2,Kmeans,0.472402,0
2,Kmeans,0.462349,0
2,Kmeans,0.432244,1
2,Kmeans,0.434698,1
2,Kmeans,0.600687,1
2,Kmeans,0.335554,1
2,Kmeans,0.528221,0
2,Kmeans,0.427913,0
2,Kmeans,0.453035,0
2,Kmeans,0.482635,1
2,Kmeans,0.236213,1
2,Kmeans,0.089242,0
2,Kmeans,0.380956,1
2,Kmeans,0.489284,1
2,Kmeans,0.388038,0
2,Kmeans,0.402022,1
2,Kmeans,0.419,0
2,Kmeans,0.228674,0
2,Kmeans,0.448713,0
2,Kmeans,0.542237,0
2,Kmeans,0.545414,1
2,Kmeans,0.547222,0
2,Kmeans,0.541975,1
2,Kmeans,0.530688,0
2,Kmeans,0.331419,1
2,Kmeans,0.331868,1
2,Kmeans,0.524992,1
2,Kmeans,0.312103,0
2,Kmeans,0.530598,1
2,Kmeans,0.456675,0
2,Kmeans,0.209488,1
2,Kmeans,0.539016,0
2,Kmeans,0.578529,1
2,Kmeans,0.426171,1
2,Kmeans,0.27051,0
2,Kmeans,0.462454,0
2,Kmeans,0.53111,0
2,Kmeans,0.574103,1
2,Kmeans,0.600995,1
2,Kmeans,0.371208,0
2,Kmeans,0.471485,0
2,Kmeans,0.558121,1
2,Kmeans,0.542823,0
2,Kmeans,0.435344,1
2,Kmeans,0.480451,1
2,Kmeans,0.48966,0
2,Kmeans,0.506952,0
2,Kmeans,0.285309,0
2,Kmeans,-0.003478,0
2,Kmeans,0.452179,1
2,Kmeans,0.228018,0
2,Kmeans,0.131688,1
2,Kmeans,0.156647,0
2,Kmeans,0.383096,1
2,Kmeans,0.064047,1
2,Kmeans,0.346565,1
2,Kmeans,0.168157,1
2,Kmeans,0.488498,1
2,Kmeans,0.44253,0
2,Kmeans,0.18378,0
2,Kmeans,0.425512,0
2,Kmeans,0.359646,0
2,Kmeans,0.103925,1
2,Kmeans,0.538457,1
2,Kmeans,0.366269,1
2,Kmeans,0.292551,0
2,Kmeans,0.125054,0
2,Kmeans,0.497719,1
2,Kmeans,0.487837,1
2,Kmeans,0.304614,0
2,Kmeans,0.298982,0
2,Kmeans,0.287821,1
2,Kmeans,0.553713,0
2,Kmeans,0.386477,1
2,Kmeans,-0.004269,0
2,Kmeans,0.36854,0
2,Kmeans,0.539875,0
2,Kmeans,0.261293,0
2,Kmeans,0.43036,1
2,Kmeans,0.563512,1
2,Kmeans,0.577362,1
2,Kmeans,0.585182,1
2,Kmeans,0.513566,0
2,Kmeans,0.368526,0
2,Kmeans,0.286814,0
2,Kmeans,0.517492,1
2,Kmeans,0.210121,0
2,Kmeans,0.42539,1
2,Kmeans,0.214167,1
2,Kmeans,0.189628,1
2,Kmeans,0.439375,0
2,Kmeans,0.476389,0
2,Kmeans,0.248091,1
2,Kmeans,0.17008,1
2,Kmeans,0.591124,1
2,Kmeans,0.52187,0
2,Kmeans,0.485324,1
2,Kmeans,0.382885,0
2,Kmeans,0.530463,0
2,Kmeans,0.558051,0
2,Kmeans,0.518994,1
2,Kmeans,0.277931,1
2,Kmeans,0.297169,1
2,Kmeans,0.460297,1
2,Kmeans,0.543631,0
2,Kmeans,0.57913,1
2,Kmeans,0.528376,1
2,Kmeans,0.310623,1
2,Kmeans,0.463659,0
2,Kmeans,0.383251,0
2,Kmeans,0.062035,0
2,Kmeans,0.594496,1
2,Kmeans,0.473172,0
2,Kmeans,0.496065,0
2,Kmeans,0.58601,1
2,Kmeans,0.465157,0
2,Kmeans,0.504464,0
2,Kmeans,0.525129,1
2,Kmeans,0.347395,0
2,Kmeans,0.399645,1
2,Kmeans,0.542056,1
2,Kmeans,0.547369,0
2,Kmeans,0.488503,0
2,Kmeans,0.038869,0
2,Kmeans,0.516496,1
2,Kmeans,0.387009,0
2,Kmeans,0.456485,1
2,Kmeans,0.495709,1
2,Kmeans,0.264788,0
2,Kmeans,0.338509,1
2,Kmeans,0.500862,1
2,Kmeans,0.017238,0
2,Kmeans,0.548784,0
2,Kmeans,0.086382,0
2,Kmeans,0.236893,1
2,Kmeans,0.419087,1
2,Kmeans,0.567806,1
2,Kmeans,0.385641,0
2,Kmeans,0.333186,0
2,Kmeans,0.515542,1
2,Kmeans,0.319729,0
2,Kmeans,0.36569,0
2,Kmeans,0.500372,0
2,Kmeans,0.562013,1
2,Kmeans,0.238084,1
2,Kmeans,0.036411,0
2,Kmeans,0.537971,1
2,Kmeans,0.063859,1
2,Kmeans,0.543566,1
2,Kmeans,0.206884,0
2,Kmeans,0.482485,1
2,Kmeans,0.562066,1
2,Kmeans,0.275766,1
2,Kmeans,0.552049,0
2,Kmeans,0.533568,0
2,Kmeans,0.193534,1
2,Kmeans,0.543268,1
2,Kmeans,0.379535,0
2,Kmeans,0.259114,1
2,Kmeans,0.416154,0
2,Kmeans,0.571397,1
2,Kmeans,0.56899,1
2,Kmeans,0.451373,1
2,Kmeans,0.543837,0
2,Kmeans,0.530969,0
2,Kmeans,0.517944,1
2,Kmeans,0.553344,1
2,Kmeans,0.447851,1
2,Kmeans,0.506813,0
2,Kmeans,0.387315,1
2,Kmeans,0.124556,1
2,Kmeans,0.568338,1
2,Kmeans,0.519048,1
2,Kmeans,0.497248,1
2,Kmeans,0.198345,0
2,Kmeans,0.187158,0
2,Kmeans,0.501154,1
2,Kmeans,0.551109,0
2,Kmeans,0.56661,1
