k,GMM,Kmeans
2,0.3979541421260299,0.39718471166312225
3,0.3582600249033299,0.363276794423783
4,0.32779210482151205,0.323225121151167
5,0.3314279298867829,0.3239056499109831
6,0.30478049062684565,0.32476757966357056
7,0.3243805447784644,0.32589448598698145
8,0.3146954983362028,0.32988806203207816
9,0.31230137448491163,0.32463153235910586
10,0.3210295409836629,0.3355266440131112
15,0.31707538101592286,0.33460238090993655
20,0.2950501830831665,0.34028592222874726
25,0.31910369262343496,0.3446054277570402
30,0.2875505150880784,0.34002808189762923
35,0.29761321519360645,0.3302799053158926
40,0.27518527748182275,0.3423944078089958
