k,GMM,Kmeans
2,0.20687093779015783,0.20687093779015783
3,0.2993500464252553,0.29842154131847726
4,0.39498607242339834,0.38440111420612816
5,0.4701949860724234,0.4393686165273909
6,0.5188486536675951,0.498050139275766
7,0.5259052924791087,0.5790157845868152
8,0.5855153203342618,0.5838440111420613
9,0.5862581244196843,0.5933147632311978
10,0.6469823584029712,0.6584958217270195
15,0.7561745589600742,0.6993500464252553
20,0.7741875580315691,0.7450324976787372
25,0.8048282265552461,0.7764159702878366
30,0.8144846796657381,0.792200557103064
35,0.8137418755803157,0.793686165273909
40,0.8087279480037141,0.7962859795728876
