k,GMM,Kmeans
2,0.20653704824360786,0.18720314468015414
3,0.3255871731137809,0.28944853995232406
4,0.4308318199924,0.3776496733862827
5,0.46856664027768435,0.4381052968803729
6,0.5074895544008045,0.4948476507577677
7,0.5177465560141156,0.5558449959857994
8,0.5726765192359367,0.5601064351084549
9,0.5771389950548587,0.581594697359023
10,0.6269503562506448,0.6147871343624168
15,0.6350231069499253,0.584883149933905
20,0.5862283019985769,0.5622707947669964
25,0.56449911542007,0.5296407733454696
30,0.5380757845618623,0.5132117885218828
35,0.513984244439054,0.49736398541307814
40,0.4951974068531851,0.48063374104943823
