k,type,score,label
2,Kmeans,0.30831,1
2,Kmeans,0.321915,1
2,Kmeans,0.470197,0
2,Kmeans,0.278668,1
2,Kmeans,0.45877,0
2,Kmeans,0.306964,0
2,Kmeans,0.157697,0
2,Kmeans,0.532983,1
2,Kmeans,0.320363,0
2,Kmeans,0.401091,0
2,Kmeans,-0.07185,0
2,Kmeans,0.374318,0
2,Kmeans,0.496476,1
2,Kmeans,0.460375,1
2,Kmeans,0.434784,1
2,Kmeans,0.481566,1
2,Kmeans,0.516595,1
2,Kmeans,0.164623,0
2,Kmeans,0.143689,0
2,Kmeans,0.366654,0
2,Kmeans,0.344869,1
2,Kmeans,0.393267,0
2,Kmeans,0.393633,1
2,Kmeans,0.125275,0
2,Kmeans,0.278479,1
2,Kmeans,0.532881,1
2,Kmeans,0.463925,0
2,Kmeans,0.371684,1
2,Kmeans,0.311641,0
2,Kmeans,0.431445,1
2,Kmeans,0.485645,1
2,Kmeans,0.190395,0
2,Kmeans,0.124272,0
2,Kmeans,0.134344,0
2,Kmeans,0.455886,0
2,Kmeans,0.50138,1
2,Kmeans,0.385282,1
2,Kmeans,0.256714,0
2,Kmeans,0.145869,0
2,Kmeans,0.356194,1
2,Kmeans,0.460532,1
2,Kmeans,0.04999,0
2,Kmeans,0.352939,0
2,Kmeans,0.507416,1
2,Kmeans,0.448267,0
2,Kmeans,0.19489,1
2,Kmeans,0.04929,1
2,Kmeans,0.279421,0
2,Kmeans,0.34946,1
2,Kmeans,0.403876,1
2,Kmeans,0.354599,1
2,Kmeans,0.485181,1
2,Kmeans,0.136928,1
2,Kmeans,0.329944,1
2,Kmeans,0.385164,1
2,Kmeans,0.4628,0
2,Kmeans,0.08007,0
2,Kmeans,0.242662,0
2,Kmeans,0.423232,1
2,Kmeans,0.516206,1
2,Kmeans,0.115012,0
2,Kmeans,-0.012072,0
2,Kmeans,0.494386,1
2,Kmeans,0.206464,0
2,Kmeans,0.063387,1
2,Kmeans,0.353332,1
2,Kmeans,0.40698,1
2,Kmeans,0.363312,1
2,Kmeans,0.096328,0
2,Kmeans,0.209875,0
2,Kmeans,0.522196,1
2,Kmeans,0.301934,0
2,Kmeans,0.256652,1
2,Kmeans,0.155169,0
2,Kmeans,0.260277,0
2,Kmeans,0.004464,0
2,Kmeans,0.475131,0
2,Kmeans,0.497808,1
2,Kmeans,0.416657,1
2,Kmeans,0.390846,1
2,Kmeans,0.511281,1
2,Kmeans,0.319983,1
2,Kmeans,0.106848,1
2,Kmeans,0.279422,0
2,Kmeans,0.329723,1
2,Kmeans,0.441327,1
2,Kmeans,0.364411,1
2,Kmeans,0.422963,1
2,Kmeans,0.348388,1
2,Kmeans,0.110204,0
2,Kmeans,0.523241,1
2,Kmeans,0.186068,0
2,Kmeans,0.132686,0
2,Kmeans,0.244083,1
2,Kmeans,0.403558,1
2,Kmeans,0.108657,0
2,Kmeans,0.47185,0
2,Kmeans,0.492,0
2,Kmeans,0.501127,1
2,Kmeans,0.236001,1
2,Kmeans,0.180459,1
2,Kmeans,0.011072,0
2,Kmeans,0.328177,1
2,Kmeans,0.284353,1
2,Kmeans,0.509695,1
2,Kmeans,0.536146,1
2,Kmeans,0.317193,1
2,Kmeans,0.380174,1
2,Kmeans,0.422253,1
2,Kmeans,0.476295,0
2,Kmeans,0.330562,0
2,Kmeans,0.486933,0
2,Kmeans,0.312584,0
2,Kmeans,0.187478,1
2,Kmeans,0.460745,0
2,Kmeans,0.179532,0
2,Kmeans,0.212384,0
2,Kmeans,0.281802,1
2,Kmeans,0.301154,0
2,Kmeans,0.088699,0
2,Kmeans,0.232827,1
2,Kmeans,0.458729,1
2,Kmeans,0.09999,0
2,Kmeans,0.393912,1
2,Kmeans,0.264525,0
2,Kmeans,0.426199,1
2,Kmeans,0.215757,1
2,Kmeans,0.422806,1
2,Kmeans,0.401384,1
2,Kmeans,-0.001234,0
2,Kmeans,0.317762,0
2,Kmeans,0.394637,1
2,Kmeans,0.387507,1
2,Kmeans,0.436361,0
2,Kmeans,0.487752,1
2,Kmeans,0.198671,0
2,Kmeans,0.218021,0
2,Kmeans,0.395407,0
2,Kmeans,0.349724,1
2,Kmeans,0.269565,0
2,Kmeans,0.335849,1
2,Kmeans,0.474191,1
2,Kmeans,0.490896,0
2,Kmeans,0.249608,1
2,Kmeans,0.109257,1
2,Kmeans,0.105476,0
2,Kmeans,0.4293,1
2,Kmeans,0.362069,1
2,Kmeans,0.49864,1
2,Kmeans,0.485429,1
2,Kmeans,0.232892,0
2,Kmeans,0.239479,0
2,Kmeans,0.390768,1
2,Kmeans,0.379774,1
2,Kmeans,0.377537,1
2,Kmeans,0.249998,1
2,Kmeans,0.162303,0
2,Kmeans,0.196587,0
2,Kmeans,0.080951,1
2,Kmeans,0.234932,0
2,Kmeans,0.307994,0
2,Kmeans,0.40053,0
2,Kmeans,0.420054,1
2,Kmeans,0.239227,1
2,Kmeans,0.429115,1
2,Kmeans,0.512197,1
2,Kmeans,0.469562,0
2,Kmeans,0.508442,1
2,Kmeans,0.249096,0
2,Kmeans,0.21979,0
2,Kmeans,0.387422,0
2,Kmeans,0.195614,0
2,Kmeans,0.373487,1
2,Kmeans,0.211391,1
2,Kmeans,0.348833,1
2,Kmeans,0.165146,0
2,Kmeans,0.497541,1
2,Kmeans,0.45896,0
2,Kmeans,0.435357,1
2,Kmeans,0.342326,0
2,Kmeans,0.489257,0
2,Kmeans,0.40382,1
2,Kmeans,0.534707,1
2,Kmeans,0.008387,0
2,Kmeans,0.502218,1
2,Kmeans,0.133022,0
2,Kmeans,0.012068,0
2,Kmeans,0.527055,1
2,Kmeans,0.494274,1
2,Kmeans,0.488689,1
2,Kmeans,0.45689,1
2,Kmeans,0.049871,0
2,Kmeans,0.505786,1
2,Kmeans,0.50589,1
2,Kmeans,0.266452,1
2,Kmeans,0.382389,0
2,Kmeans,0.378453,1
2,Kmeans,0.354224,1
2,Kmeans,0.150818,0
2,Kmeans,0.502154,1
2,Kmeans,0.0921,0
2,Kmeans,0.367621,1
2,Kmeans,0.468677,1
2,Kmeans,0.201969,0
2,Kmeans,0.507683,1
2,Kmeans,0.178713,0
2,Kmeans,0.491114,0
2,Kmeans,0.507005,1
2,Kmeans,0.198817,0
2,Kmeans,0.363138,0
2,Kmeans,0.503875,1
2,Kmeans,0.397406,1
2,Kmeans,0.077879,0
2,Kmeans,0.357713,1
2,Kmeans,0.526136,1
2,Kmeans,0.422471,0
2,Kmeans,0.47231,1
2,Kmeans,0.282067,1
2,Kmeans,0.450924,1
2,Kmeans,0.515111,1
2,Kmeans,0.275933,0
2,Kmeans,0.367987,1
2,Kmeans,0.458125,0
2,Kmeans,0.48477,1
2,Kmeans,0.356925,0
