k,GMM,Kmeans
2,0.3354140931699634,0.3461073240542616
3,0.33293819863565777,0.36066956622109
4,0.39105261892387133,0.40589810712239915
5,0.3757530777447286,0.4222079548946205
6,0.3996537316272714,0.4412926443592665
7,0.4140831923571775,0.4619230925133856
8,0.452114739132813,0.46824378084077056
9,0.4127014388276662,0.4259543293534944
10,0.3923045068080265,0.3973345461943597
15,0.3194348014409475,0.3676966981717357
20,0.2699554814368737,0.3504442336380906
25,0.2452649004286291,0.32071938007831996
30,0.24266888385975527,0.3137437538238738
35,0.2302589365262469,0.2998926343528067
40,0.21845711468715295,0.2905346856849782
