k,GMM,Kmeans
2,0.781148429035753,0.781148429035753
3,0.781148429035753,0.7876489707475623
4,0.7843986998916577,0.7941495124593716
5,0.7843986998916577,0.8017334777898159
6,0.8049837486457205,0.8104008667388949
7,0.8179848320693391,0.8049837486457205
8,0.781148429035753,0.8082340195016251
9,0.7843986998916577,0.8158179848320694
10,0.7843986998916577,0.8104008667388949
15,0.7865655471289275,0.819068255687974
20,0.7843986998916577,0.8212351029252438
25,0.8082340195016251,0.8147345612134345
30,0.7963163596966414,0.8169014084507042
35,0.80931744312026,0.8158179848320694
40,0.8104008667388949,0.8223185265438786
