k,GMM,Kmeans
2,0.11429831354865799,0.14201512965197083
3,0.09880233443045075,0.10699564894456604
4,0.09802380579364028,0.08951087605718722
5,0.09013696102177221,0.07848749676265171
6,0.08614376559884454,0.07359851762970844
7,0.0847919158383214,0.07005537074768871
8,0.06720738640518145,0.06652013004037606
9,0.06981075948089477,0.06273480073777618
10,0.06671975072370956,0.0575799689170431
15,0.06530174298971748,0.05195642757444417
20,0.05584856199638939,0.050014420639861744
25,0.05025101837140708,0.04429975330431928
30,0.04840375131036062,0.0438063136651282
35,0.0431466180748255,0.04024294614665771
40,0.04617045627068299,0.039270932270113565
