k,type,score,label
2,Kmeans,0.387713,0
2,Kmeans,0.417053,0
2,Kmeans,0.393753,0
2,Kmeans,0.155446,0
2,Kmeans,0.462861,1
2,Kmeans,0.110506,0
2,Kmeans,-0.004551,0
2,Kmeans,0.091202,1
2,Kmeans,0.369907,1
2,Kmeans,0.380875,1
2,Kmeans,0.44439,1
2,Kmeans,0.347494,0
2,Kmeans,0.222528,1
2,Kmeans,0.154794,0
2,Kmeans,0.285959,0
2,Kmeans,0.399402,0
2,Kmeans,0.384198,1
2,Kmeans,0.295441,0
2,Kmeans,0.178381,0
2,Kmeans,0.345199,1
2,Kmeans,0.294426,0
2,Kmeans,0.50323,1
2,Kmeans,0.007242,0
2,Kmeans,0.336438,1
2,Kmeans,0.417024,1
2,Kmeans,0.429991,1
2,Kmeans,0.332294,0
2,Kmeans,0.391987,0
2,Kmeans,0.41879,0
2,Kmeans,0.226799,1
2,Kmeans,0.355567,0
2,Kmeans,0.490344,1
2,Kmeans,0.340499,1
2,Kmeans,0.240161,1
2,Kmeans,0.454058,1
2,Kmeans,0.43637,1
2,Kmeans,0.124286,0
2,Kmeans,0.261377,0
2,Kmeans,0.128093,0
2,Kmeans,0.317001,1
2,Kmeans,0.438162,1
2,Kmeans,0.22387,0
2,Kmeans,0.035184,0
2,Kmeans,0.166472,1
2,Kmeans,0.056566,1
2,Kmeans,0.28898,0
2,Kmeans,0.370071,1
2,Kmeans,0.327862,1
2,Kmeans,0.093496,1
2,Kmeans,0.419288,1
2,Kmeans,0.306802,1
2,Kmeans,0.280553,1
2,Kmeans,0.468943,0
2,Kmeans,0.377379,0
2,Kmeans,0.173829,1
2,Kmeans,0.235384,0
2,Kmeans,0.395572,1
2,Kmeans,0.070336,0
2,Kmeans,0.292634,1
2,Kmeans,0.205728,0
2,Kmeans,0.079474,0
2,Kmeans,0.391631,1
2,Kmeans,0.45763,0
2,Kmeans,0.000403,0
2,Kmeans,0.414831,1
2,Kmeans,0.125509,0
2,Kmeans,0.245583,1
2,Kmeans,0.432358,1
2,Kmeans,0.275967,1
2,Kmeans,0.237148,0
2,Kmeans,0.441853,0
2,Kmeans,0.138836,1
2,Kmeans,0.290421,1
2,Kmeans,0.435771,0
2,Kmeans,0.392428,0
2,Kmeans,0.055497,0
2,Kmeans,0.005198,0
2,Kmeans,0.464045,1
2,Kmeans,0.065148,1
2,Kmeans,0.298703,1
2,Kmeans,0.25894,0
2,Kmeans,0.316241,1
2,Kmeans,0.477381,0
2,Kmeans,0.207608,0
2,Kmeans,0.301721,1
2,Kmeans,0.175531,1
2,Kmeans,0.006687,0
2,Kmeans,0.365996,1
2,Kmeans,0.387648,0
2,Kmeans,0.134308,1
2,Kmeans,-0.021737,0
2,Kmeans,0.144393,0
2,Kmeans,0.481047,0
2,Kmeans,0.436779,1
2,Kmeans,0.455819,1
2,Kmeans,0.227444,0
2,Kmeans,0.399354,1
2,Kmeans,0.504638,1
2,Kmeans,0.340195,0
2,Kmeans,0.149467,1
2,Kmeans,0.176699,1
2,Kmeans,0.38407,0
2,Kmeans,0.477178,0
2,Kmeans,0.253702,1
2,Kmeans,0.453273,1
2,Kmeans,0.370078,1
2,Kmeans,0.43745,1
2,Kmeans,0.44499,1
2,Kmeans,0.385088,1
2,Kmeans,0.398066,0
2,Kmeans,0.409143,1
2,Kmeans,0.335395,1
2,Kmeans,0.274824,1
2,Kmeans,0.419742,1
2,Kmeans,0.501051,1
2,Kmeans,0.116219,1
2,Kmeans,0.326306,1
2,Kmeans,0.408799,0
2,Kmeans,0.422374,1
2,Kmeans,0.408887,1
2,Kmeans,0.331165,0
2,Kmeans,0.379542,1
2,Kmeans,0.363617,1
2,Kmeans,0.108623,0
2,Kmeans,0.333268,1
2,Kmeans,0.07424,0
2,Kmeans,0.325572,0
2,Kmeans,0.477721,1
2,Kmeans,0.440887,0
2,Kmeans,0.373861,0
2,Kmeans,0.105537,1
2,Kmeans,0.026316,1
2,Kmeans,0.25511,0
2,Kmeans,0.430708,0
2,Kmeans,0.468124,1
2,Kmeans,0.118935,1
2,Kmeans,0.265207,1
2,Kmeans,0.01496,0
2,Kmeans,0.290392,0
2,Kmeans,0.460625,0
2,Kmeans,0.334392,1
2,Kmeans,0.376849,0
2,Kmeans,0.293633,0
2,Kmeans,0.18163,0
2,Kmeans,0.416985,0
2,Kmeans,0.378304,0
2,Kmeans,0.439339,1
2,Kmeans,0.250427,1
2,Kmeans,0.153066,0
2,Kmeans,0.369114,0
2,Kmeans,0.350491,1
2,Kmeans,0.43469,1
2,Kmeans,0.131839,1
2,Kmeans,0.170572,0
2,Kmeans,0.141999,0
2,Kmeans,0.266083,0
2,Kmeans,0.396236,1
2,Kmeans,0.384163,1
2,Kmeans,0.387404,1
2,Kmeans,0.473348,1
2,Kmeans,0.353089,0
2,Kmeans,0.504243,1
2,Kmeans,0.111211,1
2,Kmeans,0.368583,0
2,Kmeans,0.203835,1
2,Kmeans,0.306035,1
2,Kmeans,0.430878,1
2,Kmeans,0.493891,1
2,Kmeans,0.361203,1
2,Kmeans,0.002496,1
2,Kmeans,0.276545,0
2,Kmeans,0.035973,1
2,Kmeans,0.421353,0
2,Kmeans,0.079072,1
2,Kmeans,0.287315,1
2,Kmeans,0.246659,1
2,Kmeans,0.189825,0
2,Kmeans,0.461791,0
2,Kmeans,0.242249,1
2,Kmeans,0.322313,0
2,Kmeans,0.485221,1
2,Kmeans,0.391703,0
2,Kmeans,0.421953,1
2,Kmeans,0.387564,0
2,Kmeans,0.287513,1
2,Kmeans,0.376871,1
2,Kmeans,0.064339,0
2,Kmeans,0.270369,0
2,Kmeans,0.332952,0
2,Kmeans,0.351235,1
2,Kmeans,0.412496,1
2,Kmeans,0.075271,1
2,Kmeans,0.484058,1
