k,GMM,Kmeans
2,0.2986190713482206,0.3138953382479426
3,0.1563446958702811,0.25016711030266736
4,0.07754666842814475,0.23120997899217888
5,0.039846780609730306,0.22596972959363706
6,0.08007985794134473,0.22648238133197826
7,0.07607663513046625,0.22426263647307645
8,0.007935536155171426,0.2236064467542592
9,-0.007148691970294812,0.21920191910982137
10,0.04242580045277392,0.2175309507128193
15,-0.06159463311456975,0.21727391705828963
20,-0.08430680196374404,0.21832928642137525
25,-0.0705979246325576,0.22241749086737872
30,-0.13151789875871864,0.21476084684775637
35,-0.09204453538472325,0.2232917124462029
40,-0.1064604447684295,0.22790031348276338
