k,GMM,Kmeans
2,0.20334261838440112,0.20185701021355618
3,0.295636025998143,0.2950789229340761
4,0.3626740947075209,0.34818941504178275
5,0.4181987000928505,0.42302692664809655
6,0.4198700092850511,0.49619312906220986
7,0.40278551532033424,0.5550603528319406
8,0.549489322191272,0.5710306406685237
9,0.5790157845868152,0.6053853296193129
10,0.5701021355617456,0.6100278551532033
15,0.6076137418755804,0.6265552460538533
20,0.6103992571959146,0.6228412256267409
25,0.6079851439182915,0.6389972144846797
30,0.6271123491179201,0.6362116991643454
35,0.6076137418755804,0.6454967502321263
40,0.6269266480965645,0.6445682451253482
