k,GMM,Kmeans
2,0.17790031245017013,0.1737922702566062
3,0.29609831223869504,0.29197474427093695
4,0.30415867854280804,0.3310487479235825
5,0.3601215358125987,0.39872794566682207
6,0.36665528662585634,0.4554252057579094
7,0.37473058265750925,0.4988331081608934
8,0.5016207645219658,0.5225989839226856
9,0.5261246368333526,0.5564269499605571
10,0.5256116220112204,0.5634175325533538
15,0.5378144883271202,0.5471892479990413
20,0.5052086201521301,0.5029384953039606
25,0.46681328956246926,0.4799386907900533
30,0.46269722807097324,0.4541136994588405
35,0.4509944492629332,0.44405611320673716
40,0.43094785109284867,0.4319144378487144
