k,type,score,label
2,Kmeans,0.494668,0
2,Kmeans,0.450198,1
2,Kmeans,0.601959,1
2,Kmeans,0.432038,1
2,Kmeans,0.608696,0
2,Kmeans,0.56419,0
2,Kmeans,0.628071,0
2,Kmeans,0.594117,0
2,Kmeans,0.499668,0
2,Kmeans,0.354059,0
2,Kmeans,0.585487,0
2,Kmeans,0.614223,0
2,Kmeans,0.471216,0
2,Kmeans,0.623104,0
2,Kmeans,0.624234,0
2,Kmeans,0.542974,0
2,Kmeans,0.603272,0
2,Kmeans,0.522472,0
2,Kmeans,0.562128,1
2,Kmeans,0.444072,0
2,Kmeans,0.585702,0
2,Kmeans,0.625251,0
2,Kmeans,0.647184,1
2,Kmeans,0.595459,0
2,Kmeans,0.580793,0
2,Kmeans,0.152595,0
2,Kmeans,0.528457,1
2,Kmeans,0.63091,0
2,Kmeans,0.461313,1
2,Kmeans,0.358971,0
2,Kmeans,0.64649,0
2,Kmeans,0.650618,0
2,Kmeans,0.549732,1
2,Kmeans,0.567977,0
2,Kmeans,0.5965,1
2,Kmeans,0.634214,0
2,Kmeans,0.519702,1
2,Kmeans,0.601534,1
2,Kmeans,0.589315,1
2,Kmeans,0.394254,0
2,Kmeans,0.650079,0
2,Kmeans,0.552651,1
2,Kmeans,0.615759,0
2,Kmeans,0.487541,0
2,Kmeans,0.585924,0
2,Kmeans,0.563848,0
2,Kmeans,0.500231,0
2,Kmeans,0.359986,1
2,Kmeans,0.580193,1
2,Kmeans,0.4682,1
2,Kmeans,0.623665,0
2,Kmeans,0.24714,0
2,Kmeans,0.50442,0
2,Kmeans,0.648038,0
2,Kmeans,0.086855,1
2,Kmeans,0.653557,1
2,Kmeans,0.319677,0
2,Kmeans,0.577659,1
2,Kmeans,0.277294,0
2,Kmeans,0.562237,0
2,Kmeans,0.625726,0
2,Kmeans,0.582209,1
2,Kmeans,0.406104,1
2,Kmeans,0.592902,1
2,Kmeans,0.56419,0
2,Kmeans,0.623104,0
2,Kmeans,0.559496,0
2,Kmeans,0.589591,0
2,Kmeans,0.597006,0
2,Kmeans,0.642099,0
2,Kmeans,0.562847,0
2,Kmeans,0.553552,1
2,Kmeans,0.225074,0
2,Kmeans,0.635168,0
2,Kmeans,0.459764,0
2,Kmeans,0.620735,0
2,Kmeans,0.400228,0
2,Kmeans,0.63566,0
2,Kmeans,0.444305,0
2,Kmeans,0.615759,0
2,Kmeans,0.521564,1
2,Kmeans,0.641758,1
2,Kmeans,0.431604,0
2,Kmeans,0.015158,0
2,Kmeans,0.595043,0
2,Kmeans,0.625953,0
2,Kmeans,0.593118,1
2,Kmeans,0.619398,0
2,Kmeans,0.1971,0
2,Kmeans,0.5046,0
2,Kmeans,0.549134,0
2,Kmeans,0.625251,0
2,Kmeans,0.623104,0
2,Kmeans,0.554515,0
2,Kmeans,0.292571,0
2,Kmeans,0.619127,0
2,Kmeans,0.599605,1
2,Kmeans,0.625726,0
2,Kmeans,0.509048,0
2,Kmeans,0.598805,1
2,Kmeans,0.129747,1
2,Kmeans,0.640457,0
2,Kmeans,0.58706,0
2,Kmeans,0.561478,0
2,Kmeans,0.600154,0
2,Kmeans,0.622339,0
2,Kmeans,0.609377,0
2,Kmeans,0.305763,1
2,Kmeans,0.17748,0
2,Kmeans,0.291476,1
2,Kmeans,0.612582,1
2,Kmeans,0.557912,0
2,Kmeans,0.648606,1
2,Kmeans,0.625251,0
2,Kmeans,0.622339,0
2,Kmeans,0.600371,1
2,Kmeans,0.611912,1
2,Kmeans,0.561098,0
2,Kmeans,0.631392,0
2,Kmeans,0.44854,0
2,Kmeans,0.567179,0
2,Kmeans,0.418456,1
2,Kmeans,0.567391,0
2,Kmeans,0.606793,0
2,Kmeans,0.549134,0
2,Kmeans,0.571859,1
2,Kmeans,0.106668,0
2,Kmeans,0.611391,0
2,Kmeans,0.620751,0
2,Kmeans,0.605406,0
2,Kmeans,0.618097,0
2,Kmeans,0.515051,1
2,Kmeans,0.625745,0
2,Kmeans,0.622339,0
2,Kmeans,0.649135,0
2,Kmeans,0.623104,0
2,Kmeans,0.601915,1
2,Kmeans,0.600256,0
2,Kmeans,0.296467,0
2,Kmeans,0.310262,0
2,Kmeans,0.227558,1
2,Kmeans,0.406518,1
2,Kmeans,0.38424,0
2,Kmeans,0.551613,0
2,Kmeans,0.19508,0
2,Kmeans,0.404207,1
2,Kmeans,0.640556,0
2,Kmeans,0.530043,1
2,Kmeans,0.48968,0
2,Kmeans,0.3707,1
2,Kmeans,0.585702,0
2,Kmeans,0.637848,0
2,Kmeans,0.363578,0
2,Kmeans,0.603272,0
2,Kmeans,0.645751,0
2,Kmeans,0.543394,0
2,Kmeans,0.597897,0
2,Kmeans,0.625949,0
2,Kmeans,0.639217,0
2,Kmeans,0.612149,1
2,Kmeans,0.567391,0
2,Kmeans,0.619766,0
2,Kmeans,0.543173,0
2,Kmeans,0.646154,1
2,Kmeans,0.609482,0
2,Kmeans,0.571765,1
2,Kmeans,0.625251,0
2,Kmeans,0.148997,1
2,Kmeans,0.624234,0
2,Kmeans,0.560669,0
2,Kmeans,0.587224,0
2,Kmeans,0.559715,0
2,Kmeans,0.499643,1
2,Kmeans,0.620119,0
2,Kmeans,0.568387,0
2,Kmeans,0.561478,0
2,Kmeans,0.625528,0
2,Kmeans,0.592388,0
2,Kmeans,0.434233,0
2,Kmeans,0.104823,0
2,Kmeans,0.517084,0
2,Kmeans,0.61195,0
2,Kmeans,0.540707,0
2,Kmeans,0.548206,0
2,Kmeans,0.53429,0
2,Kmeans,0.635586,0
2,Kmeans,0.584833,0
2,Kmeans,0.636636,1
2,Kmeans,0.594893,0
2,Kmeans,0.612514,0
2,Kmeans,0.239527,0
2,Kmeans,0.650354,1
2,Kmeans,0.5965,1
2,Kmeans,0.561442,0
2,Kmeans,0.568383,0
2,Kmeans,0.623104,0
2,Kmeans,0.567784,0
2,Kmeans,0.384248,0
2,Kmeans,0.62876,0
2,Kmeans,0.620108,0
2,Kmeans,0.609227,0
2,Kmeans,0.120815,1
2,Kmeans,0.438513,0
2,Kmeans,0.555984,0
2,Kmeans,0.613687,0
2,Kmeans,0.575535,0
2,Kmeans,0.630436,0
2,Kmeans,0.622968,0
2,Kmeans,0.604665,1
2,Kmeans,0.616073,0
2,Kmeans,0.62152,0
2,Kmeans,0.608891,0
2,Kmeans,0.641453,1
2,Kmeans,0.601915,1
2,Kmeans,0.302217,1
2,Kmeans,0.637613,0
2,Kmeans,0.562218,0
2,Kmeans,0.623665,0
2,Kmeans,0.583882,1
2,Kmeans,0.566251,1
2,Kmeans,0.64548,1
2,Kmeans,0.539215,0
2,Kmeans,0.614223,0
2,Kmeans,0.316597,0
2,Kmeans,0.613687,0
2,Kmeans,0.18718,0
2,Kmeans,0.59628,0
2,Kmeans,0.617855,0
2,Kmeans,0.56239,0
2,Kmeans,0.566464,0
2,Kmeans,0.522528,0
2,Kmeans,0.629116,0
2,Kmeans,0.597577,0
2,Kmeans,0.594923,1
2,Kmeans,0.584937,0
2,Kmeans,0.543702,0
2,Kmeans,0.54506,0
2,Kmeans,0.641058,1
2,Kmeans,0.600865,0
2,Kmeans,0.52892,1
2,Kmeans,0.622779,0
2,Kmeans,0.653372,1
2,Kmeans,0.568997,0
2,Kmeans,0.590539,1
2,Kmeans,0.630941,0
2,Kmeans,0.629553,0
2,Kmeans,0.249988,0
2,Kmeans,0.427236,0
2,Kmeans,0.630828,0
2,Kmeans,0.608891,0
2,Kmeans,0.599521,0
2,Kmeans,0.301898,1
2,Kmeans,0.342411,1
2,Kmeans,0.223215,0
2,Kmeans,0.587182,0
2,Kmeans,0.378878,0
2,Kmeans,0.648208,1
2,Kmeans,0.312332,0
2,Kmeans,0.56239,0
2,Kmeans,0.600154,0
2,Kmeans,0.601121,0
2,Kmeans,0.54401,0
2,Kmeans,0.623104,0
2,Kmeans,0.531812,0
2,Kmeans,0.522193,0
2,Kmeans,0.588262,0
2,Kmeans,0.216046,0
2,Kmeans,0.51092,0
2,Kmeans,0.504326,0
2,Kmeans,0.558014,0
2,Kmeans,0.539742,0
2,Kmeans,0.614223,0
2,Kmeans,0.467729,0
2,Kmeans,0.528457,1
2,Kmeans,0.610773,0
2,Kmeans,0.597737,0
2,Kmeans,0.126118,1
2,Kmeans,0.353971,0
2,Kmeans,0.617562,0
2,Kmeans,0.560228,0
2,Kmeans,0.619419,0
2,Kmeans,0.562847,0
2,Kmeans,0.563848,0
2,Kmeans,0.099306,1
2,Kmeans,0.548919,0
2,Kmeans,0.494677,1
2,Kmeans,0.600865,0
2,Kmeans,0.627838,1
2,Kmeans,0.596319,1
2,Kmeans,0.159304,1
2,Kmeans,0.475453,0
2,Kmeans,0.627121,0
2,Kmeans,0.554742,0
2,Kmeans,0.56398,0
2,Kmeans,0.606295,0
2,Kmeans,0.059465,0
2,Kmeans,0.634195,0
2,Kmeans,0.197097,0
2,Kmeans,0.585924,0
2,Kmeans,0.597628,1
2,Kmeans,0.579976,1
2,Kmeans,0.625103,0
2,Kmeans,0.593781,0
2,Kmeans,0.578021,0
2,Kmeans,0.516045,0
2,Kmeans,0.525271,0
2,Kmeans,0.626178,1
2,Kmeans,0.604381,0
2,Kmeans,0.433648,0
2,Kmeans,0.386227,0
2,Kmeans,0.488897,0
2,Kmeans,0.629201,0
2,Kmeans,0.605642,0
2,Kmeans,0.566464,0
2,Kmeans,0.62288,0
2,Kmeans,0.530153,0
2,Kmeans,0.593851,0
2,Kmeans,0.587807,0
2,Kmeans,0.518889,1
2,Kmeans,0.574918,0
2,Kmeans,0.577355,0
2,Kmeans,0.156302,0
2,Kmeans,0.553942,0
2,Kmeans,0.624234,0
2,Kmeans,0.517689,0
2,Kmeans,0.633952,0
2,Kmeans,0.081694,0
2,Kmeans,0.61195,0
2,Kmeans,0.62288,0
2,Kmeans,0.355414,1
2,Kmeans,0.547637,0
2,Kmeans,0.49412,1
2,Kmeans,0.568355,0
2,Kmeans,0.50595,1
2,Kmeans,0.514482,0
2,Kmeans,0.298849,1
2,Kmeans,0.572697,1
2,Kmeans,0.56419,0
2,Kmeans,0.558133,0
2,Kmeans,0.624561,0
2,Kmeans,0.567391,0
2,Kmeans,0.623104,0
2,Kmeans,0.576836,0
2,Kmeans,0.565914,0
2,Kmeans,0.625949,0
2,Kmeans,0.558265,1
2,Kmeans,0.422293,1
2,Kmeans,0.255907,0
2,Kmeans,0.625103,0
2,Kmeans,0.1971,0
2,Kmeans,0.493119,0
2,Kmeans,0.554042,0
2,Kmeans,0.590671,0
2,Kmeans,0.588361,1
2,Kmeans,0.558716,0
2,Kmeans,0.639886,0
2,Kmeans,0.600154,0
2,Kmeans,0.614323,0
2,Kmeans,0.636519,0
2,Kmeans,0.600371,1
2,Kmeans,0.55583,0
2,Kmeans,0.624234,0
2,Kmeans,0.293368,0
2,Kmeans,0.598125,1
2,Kmeans,0.563972,1
2,Kmeans,0.62288,0
2,Kmeans,0.601342,1
2,Kmeans,0.642771,0
2,Kmeans,0.569006,0
2,Kmeans,0.532544,1
2,Kmeans,0.628955,0
2,Kmeans,0.609482,0
2,Kmeans,0.218312,0
2,Kmeans,0.654789,0
2,Kmeans,0.254188,0
2,Kmeans,0.376388,0
2,Kmeans,0.623104,0
2,Kmeans,0.639091,0
2,Kmeans,0.33573,1
2,Kmeans,0.625288,0
2,Kmeans,0.111192,1
2,Kmeans,0.59914,1
2,Kmeans,0.441435,1
2,Kmeans,0.567391,0
2,Kmeans,0.640912,0
2,Kmeans,0.588833,0
2,Kmeans,0.593302,0
2,Kmeans,0.560074,1
2,Kmeans,0.62288,0
2,Kmeans,0.601126,0
2,Kmeans,0.600865,0
2,Kmeans,0.624561,0
2,Kmeans,0.641462,1
2,Kmeans,0.436068,0
2,Kmeans,0.566784,0
2,Kmeans,0.589315,1
2,Kmeans,0.589687,0
2,Kmeans,0.639541,0
2,Kmeans,0.634857,1
2,Kmeans,0.465997,1
2,Kmeans,0.56419,0
2,Kmeans,0.627497,0
2,Kmeans,0.085063,1
2,Kmeans,0.58535,1
2,Kmeans,0.563848,0
2,Kmeans,0.459764,0
2,Kmeans,0.616281,0
2,Kmeans,0.051062,1
2,Kmeans,0.603272,0
2,Kmeans,0.541203,0
2,Kmeans,0.641543,0
2,Kmeans,0.292655,1
2,Kmeans,0.531965,0
2,Kmeans,0.536779,0
2,Kmeans,0.563735,0
2,Kmeans,0.501569,1
2,Kmeans,0.632756,1
2,Kmeans,0.568205,1
2,Kmeans,0.579709,0
2,Kmeans,0.551906,0
2,Kmeans,0.609482,0
2,Kmeans,0.574513,0
2,Kmeans,0.059053,0
