k,GMM,Kmeans
2,0.5272287880596832,0.5309037325861972
3,0.5294247629687617,0.5308224894994233
4,0.27106972696030407,0.536339620577934
5,0.31826925490105645,0.5304244490194786
6,0.28462427208512925,0.4942366099816122
7,0.2197969996653119,0.5351572264664948
8,0.25315365803800216,0.5164607466683812
9,0.261425434390232,0.5230842832664647
10,0.3175216199915197,0.5076797280845547
15,0.2329588052322,0.46142318684015043
20,0.11617448508966549,0.4276756135777055
25,0.12964031116848174,0.421453519334172
30,0.105072867071942,0.4185787910543967
35,-0.08115760872908445,0.4153707392533693
40,-0.016742168818728427,0.39734144661864285
