k,GMM,Kmeans
2,0.781148429035753,0.781148429035753
3,0.781148429035753,0.781148429035753
4,0.781148429035753,0.781148429035753
5,0.7941495124593716,0.781148429035753
6,0.7865655471289275,0.781148429035753
7,0.789815817984832,0.7930660888407367
8,0.7930660888407367,0.7930660888407367
9,0.7930660888407367,0.8049837486457205
10,0.7941495124593716,0.7919826652221018
15,0.7930660888407367,0.7963163596966414
20,0.7930660888407367,0.7995666305525461
25,0.7941495124593716,0.800650054171181
30,0.8028169014084507,0.7995666305525461
35,0.7984832069339112,0.800650054171181
40,0.80931744312026,0.80931744312026
