k,GMM,Kmeans
2,0.08207175934454873,0.09059076555887215
3,0.05094146253355095,0.05381154619521952
4,0.039677721660351245,0.04759403179523261
5,0.05587489548679713,0.04359825994196571
6,0.0578192262214591,0.03742096162873301
7,0.054449119684137924,0.0403129167107141
8,0.053824413619086346,0.037186829812321756
9,0.05456506073961254,0.037074644760925764
10,0.052851486624215245,0.03432539507463446
15,0.04068930868911979,0.030786669583013352
20,0.039980626863609606,0.0305246707971449
25,0.0302289249183092,0.027843749561646553
30,0.030112671226494102,0.030332172709725127
35,0.029388133830326953,0.02968051923707388
40,0.030512865992597827,0.029595182612112175
