k,type,score,label
2,Kmeans,0.080562,1
2,Kmeans,0.190848,1
2,Kmeans,0.13438,0
2,Kmeans,0.145002,1
2,Kmeans,0.208852,1
2,Kmeans,0.08465,1
2,Kmeans,0.404316,0
2,Kmeans,0.421752,1
2,Kmeans,0.425338,0
2,Kmeans,0.252223,0
2,Kmeans,0.348986,0
2,Kmeans,0.130055,1
2,Kmeans,0.139916,0
2,Kmeans,0.091512,1
2,Kmeans,0.371582,0
2,Kmeans,0.051136,1
2,Kmeans,0.249244,0
2,Kmeans,0.321844,0
2,Kmeans,0.241335,0
2,Kmeans,0.114081,0
2,Kmeans,0.258722,0
2,Kmeans,0.355216,1
2,Kmeans,0.333284,0
2,Kmeans,0.124937,0
2,Kmeans,0.178531,0
2,Kmeans,0.022673,1
2,Kmeans,0.221964,0
2,Kmeans,0.164346,0
2,Kmeans,0.354105,1
2,Kmeans,0.29317,0
2,Kmeans,0.247362,1
2,Kmeans,0.2156,1
2,Kmeans,0.022691,0
2,Kmeans,0.297185,1
2,Kmeans,0.221979,0
2,Kmeans,0.422491,0
2,Kmeans,0.349458,1
2,Kmeans,0.259006,1
2,Kmeans,0.346836,0
2,Kmeans,0.044971,1
2,Kmeans,0.363633,0
2,Kmeans,0.23553,1
2,Kmeans,0.242547,1
2,Kmeans,0.34731,1
2,Kmeans,0.341627,0
2,Kmeans,0.14295,1
2,Kmeans,0.200803,1
2,Kmeans,0.332557,0
2,Kmeans,0.313911,0
2,Kmeans,0.255749,1
2,Kmeans,0.034624,0
2,Kmeans,0.285922,0
2,Kmeans,0.2638,0
2,Kmeans,0.217867,0
2,Kmeans,0.388362,0
2,Kmeans,0.273399,1
2,Kmeans,0.249802,1
2,Kmeans,0.126862,1
2,Kmeans,0.288552,0
2,Kmeans,0.079968,0
2,Kmeans,0.404463,0
2,Kmeans,0.185687,1
2,Kmeans,0.359516,0
2,Kmeans,0.305258,0
2,Kmeans,0.238311,1
2,Kmeans,0.317239,0
2,Kmeans,0.304357,1
2,Kmeans,0.144097,1
2,Kmeans,0.413498,1
2,Kmeans,0.233703,1
2,Kmeans,0.296074,1
2,Kmeans,0.334547,1
2,Kmeans,0.258836,0
2,Kmeans,0.052787,0
2,Kmeans,0.321507,0
2,Kmeans,0.143857,0
2,Kmeans,0.268469,1
2,Kmeans,0.039034,1
2,Kmeans,0.406801,1
2,Kmeans,0.105492,1
2,Kmeans,0.40186,0
2,Kmeans,0.276595,1
2,Kmeans,0.396092,0
2,Kmeans,0.032953,1
2,Kmeans,0.226554,0
2,Kmeans,0.384734,0
2,Kmeans,0.222601,0
2,Kmeans,0.125878,1
2,Kmeans,0.219167,0
2,Kmeans,0.236902,1
2,Kmeans,0.092319,1
2,Kmeans,0.373483,0
2,Kmeans,0.216877,0
2,Kmeans,0.026032,1
2,Kmeans,0.392863,0
2,Kmeans,0.012891,1
2,Kmeans,0.341907,1
2,Kmeans,0.325979,0
2,Kmeans,0.286913,0
2,Kmeans,0.290953,1
2,Kmeans,0.193277,1
2,Kmeans,0.253086,1
2,Kmeans,0.202926,1
2,Kmeans,0.120839,1
2,Kmeans,0.338192,1
2,Kmeans,0.370414,0
2,Kmeans,0.384503,0
2,Kmeans,0.17386,0
2,Kmeans,0.1788,0
2,Kmeans,0.298515,0
2,Kmeans,0.389747,1
2,Kmeans,0.117756,0
2,Kmeans,0.079053,0
2,Kmeans,0.093803,1
2,Kmeans,0.316186,0
2,Kmeans,-0.026549,1
2,Kmeans,-0.002272,1
2,Kmeans,0.270601,0
2,Kmeans,0.265067,1
2,Kmeans,0.222321,1
2,Kmeans,0.353257,0
2,Kmeans,0.248561,1
2,Kmeans,0.315782,1
2,Kmeans,0.223554,0
2,Kmeans,0.27347,0
2,Kmeans,0.3802,0
2,Kmeans,0.377105,0
2,Kmeans,0.166762,1
2,Kmeans,0.205573,0
2,Kmeans,0.194574,0
2,Kmeans,0.269623,0
2,Kmeans,0.23274,0
2,Kmeans,0.190374,1
2,Kmeans,0.409467,1
2,Kmeans,0.376853,0
2,Kmeans,0.357843,0
2,Kmeans,0.076709,1
2,Kmeans,0.246091,0
2,Kmeans,0.413288,0
2,Kmeans,0.256311,1
2,Kmeans,0.152728,0
2,Kmeans,0.171188,1
2,Kmeans,0.339918,0
2,Kmeans,0.385026,1
2,Kmeans,0.055914,1
2,Kmeans,0.193259,0
2,Kmeans,0.151088,1
2,Kmeans,0.371817,0
2,Kmeans,0.306603,1
2,Kmeans,0.286629,1
2,Kmeans,0.242088,1
2,Kmeans,0.355262,1
2,Kmeans,0.267271,1
2,Kmeans,0.136444,1
2,Kmeans,0.099502,0
2,Kmeans,0.101108,0
2,Kmeans,0.394441,1
2,Kmeans,0.230867,1
2,Kmeans,0.346388,1
2,Kmeans,0.384983,0
2,Kmeans,0.334891,1
2,Kmeans,0.195248,0
2,Kmeans,0.2903,1
2,Kmeans,0.355984,0
2,Kmeans,0.366006,0
2,Kmeans,0.283786,1
2,Kmeans,0.131576,1
2,Kmeans,0.314433,1
2,Kmeans,0.010124,1
2,Kmeans,0.096081,1
2,Kmeans,0.285774,0
2,Kmeans,0.136367,1
2,Kmeans,0.313395,1
2,Kmeans,0.276178,0
2,Kmeans,0.294731,0
2,Kmeans,0.045556,0
2,Kmeans,0.035888,1
2,Kmeans,0.056729,0
2,Kmeans,0.383559,1
2,Kmeans,0.293508,1
2,Kmeans,0.177723,0
2,Kmeans,0.035659,0
2,Kmeans,0.414741,0
2,Kmeans,0.008438,1
2,Kmeans,0.088446,0
2,Kmeans,0.398325,1
2,Kmeans,0.159615,1
2,Kmeans,0.358479,1
2,Kmeans,0.289497,1
2,Kmeans,0.258724,1
2,Kmeans,0.036114,1
2,Kmeans,0.267291,0
2,Kmeans,0.34624,0
2,Kmeans,0.218694,1
2,Kmeans,0.054614,1
2,Kmeans,0.048659,0
2,Kmeans,0.107327,1
2,Kmeans,0.054139,0
2,Kmeans,0.267968,0
2,Kmeans,0.088893,1
2,Kmeans,0.400799,1
2,Kmeans,0.310069,1
2,Kmeans,0.293473,1
2,Kmeans,0.337207,0
2,Kmeans,0.12517,1
2,Kmeans,0.188044,1
2,Kmeans,0.407409,0
2,Kmeans,0.217941,0
2,Kmeans,0.385083,0
2,Kmeans,0.239721,0
2,Kmeans,0.286766,1
2,Kmeans,0.299941,0
2,Kmeans,0.316029,0
2,Kmeans,0.268621,0
2,Kmeans,0.248699,1
2,Kmeans,0.166755,1
2,Kmeans,0.165554,0
2,Kmeans,0.288144,1
2,Kmeans,0.396149,1
2,Kmeans,0.109256,0
2,Kmeans,0.162135,1
2,Kmeans,0.248666,1
2,Kmeans,0.386713,1
2,Kmeans,0.094401,0
2,Kmeans,0.37496,0
2,Kmeans,0.134161,1
2,Kmeans,0.329815,0
2,Kmeans,0.168212,0
2,Kmeans,0.089369,0
2,Kmeans,0.078408,1
2,Kmeans,0.207676,1
2,Kmeans,0.279078,1
