k,GMM,Kmeans
2,0.12204473365558316,0.2273865104711886
3,0.0751428625692704,0.20416718842150228
4,0.07787182991493978,0.182558024839468
5,0.07981072385162982,0.16586326755990835
6,0.04531485361720872,0.16181466831791583
7,0.05301324246529171,0.17550351350307064
8,0.033391138970670364,0.1798090301599906
9,0.029375443043821045,0.16413289822656807
10,0.031917312779208784,0.16847763972428176
15,-0.034717946831378424,0.1425167911712724
20,0.001101100322263888,0.14556618621482725
25,0.001641171461806435,0.14701705018909236
30,0.029227889857053713,0.14371640690130832
35,0.06023771928054872,0.14237222898810506
40,0.040467717161818816,0.1458825365566145
