k,GMM,Kmeans
2,0.20557103064066853,0.19405756731662024
3,0.2948932219127205,0.2850510677808728
4,0.3348189415041783,0.3041782729805014
5,0.38440111420612816,0.35338904363974
6,0.48950789229340763,0.3673166202414113
7,0.5376044568245125,0.41448467966573815
8,0.5773444753946146,0.4486536675951718
9,0.6555246053853296,0.4564531104921077
10,0.6757660167130919,0.4610956360259981
15,0.7303621169916434,0.5834726090993501
20,0.8486536675951718,0.666480965645311
25,0.8542246982358404,0.7221912720519963
30,0.8607242339832869,0.7283194057567317
35,0.8714948932219128,0.7457753017641597
40,0.8987929433611885,0.7771587743732591
