k,GMM,Kmeans
2,0.1357981196574597,0.10527077058684933
3,0.2667968684719669,0.22322201729072955
4,0.3109998420589697,0.24375032147735248
5,0.3931043766584485,0.2897225028183296
6,0.4778656641060534,0.31298133084352464
7,0.4962010953076167,0.360725244405536
8,0.5303938579104331,0.3996587741282864
9,0.6027696413338166,0.39982110178376823
10,0.6306611186332147,0.4225713231900668
15,0.6295677232234159,0.4792234061757415
20,0.6443449405679853,0.48210648890280583
25,0.6113773511570026,0.48156640957679187
30,0.5759305740895725,0.47074091001880447
35,0.5604435566306468,0.4570167255124549
40,0.5592256590158746,0.45364409871943234
