k,type,score,label
2,Kmeans,0.43274,0
2,Kmeans,0.105487,1
2,Kmeans,0.488126,0
2,Kmeans,0.272172,1
2,Kmeans,0.268233,0
2,Kmeans,0.41831,0
2,Kmeans,0.304408,0
2,Kmeans,0.262819,0
2,Kmeans,0.511673,0
2,Kmeans,0.099639,0
2,Kmeans,0.493425,0
2,Kmeans,0.203334,0
2,Kmeans,0.432258,1
2,Kmeans,0.452129,0
2,Kmeans,0.391508,1
2,Kmeans,0.076247,0
2,Kmeans,0.041083,0
2,Kmeans,0.018954,1
2,Kmeans,0.206873,0
2,Kmeans,0.060513,0
2,Kmeans,0.390666,0
2,Kmeans,0.464097,1
2,Kmeans,0.477445,0
2,Kmeans,0.269116,1
2,Kmeans,0.503091,0
2,Kmeans,0.523081,0
2,Kmeans,0.151707,0
2,Kmeans,0.110891,1
2,Kmeans,0.268648,1
2,Kmeans,0.417317,0
2,Kmeans,0.30845,1
2,Kmeans,0.384274,0
2,Kmeans,0.378086,0
2,Kmeans,0.146846,0
2,Kmeans,0.286048,0
2,Kmeans,0.183984,0
2,Kmeans,0.10477,1
2,Kmeans,0.331589,0
2,Kmeans,0.348304,0
2,Kmeans,0.200479,1
2,Kmeans,0.345344,1
2,Kmeans,0.309752,1
2,Kmeans,0.128054,1
2,Kmeans,0.310592,1
2,Kmeans,0.462019,0
2,Kmeans,0.20217,1
2,Kmeans,0.486484,0
2,Kmeans,0.509131,0
2,Kmeans,0.29876,1
2,Kmeans,0.268379,1
2,Kmeans,0.247317,1
2,Kmeans,0.128288,1
2,Kmeans,0.424954,1
2,Kmeans,0.0067,1
2,Kmeans,0.34066,0
2,Kmeans,0.411176,1
2,Kmeans,0.463612,0
2,Kmeans,0.483612,0
2,Kmeans,0.049193,1
2,Kmeans,0.511485,0
2,Kmeans,0.178139,1
2,Kmeans,0.390203,0
2,Kmeans,0.509172,0
2,Kmeans,0.316096,1
2,Kmeans,0.351446,0
2,Kmeans,0.448912,0
2,Kmeans,0.472344,0
2,Kmeans,0.367026,0
2,Kmeans,0.522227,0
2,Kmeans,0.124572,0
2,Kmeans,-0.032346,1
2,Kmeans,0.446475,0
2,Kmeans,0.450281,0
2,Kmeans,0.070798,0
2,Kmeans,0.49589,0
2,Kmeans,0.504382,0
2,Kmeans,0.312997,0
2,Kmeans,0.118747,1
2,Kmeans,0.266719,1
2,Kmeans,0.402115,0
2,Kmeans,0.255977,1
2,Kmeans,0.503862,0
2,Kmeans,0.469959,0
2,Kmeans,0.484643,0
2,Kmeans,0.298445,1
2,Kmeans,0.477552,0
2,Kmeans,0.341181,0
2,Kmeans,0.418291,0
2,Kmeans,0.514368,0
2,Kmeans,0.368181,1
2,Kmeans,0.049867,1
2,Kmeans,0.498949,0
2,Kmeans,0.190375,1
2,Kmeans,0.492453,0
2,Kmeans,0.362741,0
2,Kmeans,0.376148,0
2,Kmeans,0.372842,0
2,Kmeans,0.420544,0
2,Kmeans,0.497174,0
2,Kmeans,0.474853,0
2,Kmeans,0.448634,0
2,Kmeans,0.464325,0
2,Kmeans,0.511146,0
2,Kmeans,0.335717,0
2,Kmeans,0.453087,0
2,Kmeans,0.424819,0
2,Kmeans,0.342148,1
2,Kmeans,0.4524,0
2,Kmeans,0.235621,1
2,Kmeans,0.346941,0
2,Kmeans,0.443037,1
2,Kmeans,0.491458,0
2,Kmeans,0.427045,1
2,Kmeans,0.506501,0
2,Kmeans,0.260211,1
2,Kmeans,0.214485,0
2,Kmeans,0.113921,0
2,Kmeans,0.32272,1
2,Kmeans,0.516037,0
2,Kmeans,0.289535,0
2,Kmeans,0.386514,0
2,Kmeans,0.303522,0
2,Kmeans,0.427702,0
2,Kmeans,0.102571,0
2,Kmeans,0.16088,1
2,Kmeans,0.352594,0
2,Kmeans,0.376394,0
2,Kmeans,0.494952,0
2,Kmeans,0.455966,0
2,Kmeans,0.50357,0
2,Kmeans,0.40507,0
2,Kmeans,0.229622,1
2,Kmeans,0.502455,0
2,Kmeans,0.438287,1
2,Kmeans,0.16439,0
2,Kmeans,0.398386,0
2,Kmeans,0.422835,0
2,Kmeans,0.480902,0
2,Kmeans,0.46401,0
2,Kmeans,0.309157,0
2,Kmeans,-0.045808,1
2,Kmeans,0.435266,1
2,Kmeans,0.367952,0
2,Kmeans,0.451811,0
2,Kmeans,0.501105,0
2,Kmeans,0.515308,0
2,Kmeans,0.450309,1
2,Kmeans,0.176546,0
2,Kmeans,0.028707,1
2,Kmeans,0.526563,0
2,Kmeans,0.422681,0
2,Kmeans,0.227526,1
2,Kmeans,0.268443,1
2,Kmeans,0.35847,0
2,Kmeans,0.310333,0
2,Kmeans,0.48887,0
2,Kmeans,0.272649,1
2,Kmeans,0.340892,1
2,Kmeans,0.24796,1
2,Kmeans,0.500005,0
2,Kmeans,0.402887,0
2,Kmeans,0.361686,1
2,Kmeans,0.459737,0
2,Kmeans,0.443324,0
2,Kmeans,0.215203,0
2,Kmeans,0.527791,0
2,Kmeans,0.107252,0
2,Kmeans,0.35229,0
2,Kmeans,0.499628,0
2,Kmeans,0.461721,1
2,Kmeans,0.51104,0
2,Kmeans,0.296479,0
2,Kmeans,0.413648,0
2,Kmeans,0.492284,0
2,Kmeans,0.535814,0
2,Kmeans,0.447487,0
2,Kmeans,0.348963,0
2,Kmeans,0.407882,0
2,Kmeans,0.510257,0
2,Kmeans,0.168336,0
2,Kmeans,0.227766,0
2,Kmeans,-0.042337,1
2,Kmeans,0.269772,0
2,Kmeans,0.44007,0
2,Kmeans,0.424558,1
2,Kmeans,0.266558,1
2,Kmeans,0.30753,1
2,Kmeans,0.400583,1
2,Kmeans,0.414205,0
2,Kmeans,0.531838,0
2,Kmeans,0.384158,0
2,Kmeans,0.366974,1
2,Kmeans,0.482496,0
2,Kmeans,0.452129,0
2,Kmeans,0.398319,0
2,Kmeans,0.4616,0
2,Kmeans,0.346061,1
2,Kmeans,0.167742,1
2,Kmeans,0.513526,0
2,Kmeans,0.393517,1
2,Kmeans,0.277353,0
2,Kmeans,0.550219,0
2,Kmeans,0.537752,0
2,Kmeans,0.546137,0
2,Kmeans,0.436914,0
2,Kmeans,0.428825,1
2,Kmeans,0.464927,0
2,Kmeans,0.054003,1
2,Kmeans,0.349433,1
2,Kmeans,0.419945,0
2,Kmeans,0.414536,0
2,Kmeans,0.399939,0
2,Kmeans,0.452775,0
2,Kmeans,0.071493,0
2,Kmeans,0.47484,0
2,Kmeans,0.104543,0
2,Kmeans,0.457607,0
2,Kmeans,0.524003,0
2,Kmeans,0.464314,0
2,Kmeans,0.216595,0
2,Kmeans,0.252896,1
2,Kmeans,0.344433,1
2,Kmeans,0.425962,1
2,Kmeans,0.154627,0
2,Kmeans,0.444217,0
2,Kmeans,0.333782,1
2,Kmeans,0.194508,0
2,Kmeans,0.437894,1
2,Kmeans,0.50112,0
2,Kmeans,0.526625,0
2,Kmeans,0.556345,0
2,Kmeans,0.387236,1
2,Kmeans,0.389632,0
2,Kmeans,0.420915,0
2,Kmeans,0.28379,1
2,Kmeans,0.461679,0
2,Kmeans,0.333951,0
2,Kmeans,0.480314,0
2,Kmeans,0.208779,0
2,Kmeans,0.145437,0
2,Kmeans,0.356457,0
2,Kmeans,0.354726,0
2,Kmeans,0.495385,0
2,Kmeans,0.33794,0
2,Kmeans,0.307361,0
2,Kmeans,0.479173,0
2,Kmeans,0.265936,0
2,Kmeans,0.362875,1
2,Kmeans,0.368346,0
2,Kmeans,0.422413,1
2,Kmeans,0.369782,0
2,Kmeans,0.37323,1
2,Kmeans,0.239939,1
2,Kmeans,0.548194,0
2,Kmeans,0.393321,1
2,Kmeans,0.353071,0
2,Kmeans,0.15215,1
2,Kmeans,0.452427,1
2,Kmeans,0.452157,0
2,Kmeans,0.47886,0
2,Kmeans,0.477569,0
2,Kmeans,0.444173,0
2,Kmeans,0.061592,0
2,Kmeans,0.195382,0
2,Kmeans,0.396971,0
2,Kmeans,0.536697,0
2,Kmeans,0.47018,0
2,Kmeans,0.408912,0
2,Kmeans,0.271871,1
2,Kmeans,0.102103,1
2,Kmeans,0.408217,0
2,Kmeans,0.493718,0
2,Kmeans,0.440002,0
2,Kmeans,0.374592,1
2,Kmeans,0.498508,0
2,Kmeans,0.480581,0
2,Kmeans,-0.022611,1
2,Kmeans,0.349676,0
2,Kmeans,-0.050552,1
2,Kmeans,0.344123,0
2,Kmeans,0.536732,0
2,Kmeans,0.350087,0
2,Kmeans,0.119919,1
2,Kmeans,0.513332,0
2,Kmeans,0.398219,0
2,Kmeans,0.524559,0
2,Kmeans,0.149342,0
2,Kmeans,0.438011,0
2,Kmeans,0.465765,0
2,Kmeans,0.524095,0
2,Kmeans,0.364645,0
2,Kmeans,0.02316,1
2,Kmeans,0.401665,0
2,Kmeans,0.456677,1
2,Kmeans,0.137514,0
2,Kmeans,0.524362,0
2,Kmeans,0.04381,1
2,Kmeans,0.467609,0
2,Kmeans,0.121051,0
2,Kmeans,0.442629,0
2,Kmeans,0.374375,0
2,Kmeans,0.342201,0
2,Kmeans,0.285515,1
2,Kmeans,0.203601,1
2,Kmeans,0.419254,0
2,Kmeans,0.440946,1
2,Kmeans,0.462859,0
2,Kmeans,0.28578,1
2,Kmeans,0.53395,0
2,Kmeans,0.367907,0
2,Kmeans,0.264755,1
2,Kmeans,0.162684,0
2,Kmeans,0.342858,1
2,Kmeans,0.388998,1
2,Kmeans,0.548284,0
2,Kmeans,0.066527,1
2,Kmeans,0.049077,0
2,Kmeans,0.374411,0
2,Kmeans,0.115795,0
2,Kmeans,0.273493,0
2,Kmeans,0.122316,0
2,Kmeans,0.026114,1
2,Kmeans,0.306957,0
2,Kmeans,0.433368,1
2,Kmeans,0.38289,0
2,Kmeans,0.522573,0
2,Kmeans,0.461746,0
2,Kmeans,0.336678,1
2,Kmeans,0.513114,0
2,Kmeans,0.434331,1
2,Kmeans,0.455781,1
2,Kmeans,0.45791,0
2,Kmeans,0.401076,0
2,Kmeans,0.535011,0
2,Kmeans,0.512813,0
2,Kmeans,0.122548,0
2,Kmeans,0.195717,1
2,Kmeans,0.527376,0
2,Kmeans,0.362453,1
2,Kmeans,0.477348,0
2,Kmeans,0.287841,1
2,Kmeans,0.424994,0
2,Kmeans,0.372852,1
2,Kmeans,0.352131,1
2,Kmeans,0.338792,0
2,Kmeans,0.155455,1
2,Kmeans,0.42691,0
2,Kmeans,0.343523,1
2,Kmeans,0.458225,1
2,Kmeans,0.476125,0
2,Kmeans,0.531118,0
2,Kmeans,0.269416,0
2,Kmeans,0.322718,0
2,Kmeans,0.392697,0
2,Kmeans,0.31803,0
2,Kmeans,0.04723,1
2,Kmeans,0.484166,0
2,Kmeans,0.515624,0
2,Kmeans,0.15,0
2,Kmeans,0.248098,1
2,Kmeans,0.374581,0
2,Kmeans,0.062753,1
2,Kmeans,0.374368,1
2,Kmeans,0.372036,0
2,Kmeans,0.409101,0
2,Kmeans,0.261807,1
2,Kmeans,0.367837,0
2,Kmeans,0.437138,1
2,Kmeans,0.47785,0
2,Kmeans,0.491374,0
2,Kmeans,0.438231,0
2,Kmeans,0.482442,0
2,Kmeans,0.083935,0
2,Kmeans,0.492297,0
2,Kmeans,0.450879,0
2,Kmeans,0.383405,0
2,Kmeans,0.288706,0
2,Kmeans,0.450266,0
2,Kmeans,0.179492,1
2,Kmeans,0.406927,0
2,Kmeans,0.470953,0
2,Kmeans,0.432798,0
2,Kmeans,0.269934,0
2,Kmeans,0.032002,0
2,Kmeans,0.487028,0
2,Kmeans,0.467333,0
2,Kmeans,0.459631,1
2,Kmeans,0.501577,0
2,Kmeans,0.275691,1
2,Kmeans,0.405006,0
2,Kmeans,0.35597,0
2,Kmeans,0.461773,0
2,Kmeans,0.297304,0
2,Kmeans,0.474524,0
2,Kmeans,0.481413,0
2,Kmeans,0.341651,0
2,Kmeans,0.285156,0
2,Kmeans,0.006404,1
2,Kmeans,0.395574,1
2,Kmeans,0.117527,1
2,Kmeans,0.474677,0
2,Kmeans,0.41083,0
2,Kmeans,0.35923,0
2,Kmeans,0.206538,0
2,Kmeans,0.411263,1
2,Kmeans,0.330962,0
2,Kmeans,0.381254,1
2,Kmeans,0.523999,0
2,Kmeans,0.475724,0
2,Kmeans,0.334022,0
2,Kmeans,0.298434,1
2,Kmeans,0.246794,1
2,Kmeans,0.453793,0
2,Kmeans,0.447112,1
2,Kmeans,0.385645,1
2,Kmeans,0.453044,1
2,Kmeans,0.400211,0
2,Kmeans,0.495789,0
2,Kmeans,0.40901,0
2,Kmeans,0.39106,1
2,Kmeans,0.503982,0
2,Kmeans,0.400606,0
2,Kmeans,0.325835,0
2,Kmeans,0.438701,1
2,Kmeans,0.26004,1
2,Kmeans,0.407121,0
2,Kmeans,0.163308,0
2,Kmeans,0.421131,0
2,Kmeans,0.416913,0
2,Kmeans,0.542838,0
2,Kmeans,0.200594,0
2,Kmeans,0.514312,0
2,Kmeans,0.366174,1
2,Kmeans,0.366076,1
2,Kmeans,0.379221,0
2,Kmeans,0.462805,0
2,Kmeans,0.513387,0
2,Kmeans,0.349229,0
2,Kmeans,0.430965,0
2,Kmeans,0.530578,0
2,Kmeans,0.271794,0
2,Kmeans,0.272959,1
2,Kmeans,0.383062,0
2,Kmeans,0.355981,1
2,Kmeans,0.438281,1
2,Kmeans,0.211427,0
2,Kmeans,0.431718,0
2,Kmeans,0.459052,0
2,Kmeans,0.197563,0
2,Kmeans,0.387983,0
2,Kmeans,0.422048,1
2,Kmeans,0.15853,0
2,Kmeans,0.315447,1
2,Kmeans,0.393137,0
2,Kmeans,0.348799,1
2,Kmeans,0.327246,0
2,Kmeans,0.482891,0
2,Kmeans,0.481597,0
2,Kmeans,0.39215,1
2,Kmeans,0.322062,1
2,Kmeans,0.236841,0
2,Kmeans,0.499354,0
2,Kmeans,0.450911,1
2,Kmeans,0.331817,1
2,Kmeans,0.273239,0
2,Kmeans,0.3279,0
2,Kmeans,0.167685,1
2,Kmeans,0.315367,0
2,Kmeans,0.180598,0
2,Kmeans,0.208677,1
2,Kmeans,0.519938,0
2,Kmeans,0.09416,1
2,Kmeans,0.436509,1
2,Kmeans,0.534041,0
2,Kmeans,0.397946,0
2,Kmeans,0.491271,0
2,Kmeans,0.218838,0
2,Kmeans,0.491721,0
2,Kmeans,0.463384,0
2,Kmeans,0.336099,0
2,Kmeans,0.324582,0
2,Kmeans,0.430968,0
2,Kmeans,0.394855,0
2,Kmeans,0.152626,0
2,Kmeans,0.411593,0
2,Kmeans,-0.059389,1
2,Kmeans,0.313793,0
2,Kmeans,0.346105,0
2,Kmeans,0.512487,0
2,Kmeans,0.355073,0
2,Kmeans,0.464884,0
2,Kmeans,0.456806,0
2,Kmeans,0.533956,0
2,Kmeans,0.439528,0
2,Kmeans,0.514851,0
2,Kmeans,0.421555,0
2,Kmeans,0.342869,0
2,Kmeans,0.508897,0
2,Kmeans,0.423861,0
2,Kmeans,0.480948,0
2,Kmeans,0.067827,1
2,Kmeans,0.443736,1
2,Kmeans,0.447961,0
2,Kmeans,0.525547,0
2,Kmeans,0.498079,0
2,Kmeans,0.449602,0
2,Kmeans,0.228843,0
2,Kmeans,0.332835,1
2,Kmeans,0.372972,1
2,Kmeans,0.37942,1
2,Kmeans,0.258199,1
2,Kmeans,0.542652,0
2,Kmeans,0.496685,0
2,Kmeans,0.396042,1
2,Kmeans,0.250868,0
2,Kmeans,0.512848,0
2,Kmeans,0.417388,0
2,Kmeans,0.434513,0
2,Kmeans,0.351462,1
2,Kmeans,0.459778,0
2,Kmeans,0.168559,0
2,Kmeans,0.516432,0
2,Kmeans,0.214643,0
2,Kmeans,0.502349,0
2,Kmeans,0.134538,0
2,Kmeans,0.118086,0
2,Kmeans,0.326317,1
2,Kmeans,0.541739,0
2,Kmeans,0.355253,1
2,Kmeans,0.038177,1
2,Kmeans,0.392101,0
2,Kmeans,0.383314,1
2,Kmeans,0.366666,0
2,Kmeans,0.424501,0
2,Kmeans,0.064133,0
2,Kmeans,0.225382,0
2,Kmeans,0.303322,1
2,Kmeans,0.07087,1
2,Kmeans,0.371031,0
2,Kmeans,0.495991,0
2,Kmeans,0.443388,0
2,Kmeans,0.455955,0
2,Kmeans,0.373671,0
2,Kmeans,0.145594,0
2,Kmeans,0.323085,1
2,Kmeans,0.0744,0
2,Kmeans,0.498091,0
2,Kmeans,0.005404,1
2,Kmeans,0.094311,0
2,Kmeans,0.283749,1
2,Kmeans,0.241634,1
2,Kmeans,0.017858,1
2,Kmeans,0.136291,0
2,Kmeans,0.3864,0
2,Kmeans,0.506695,0
2,Kmeans,0.536016,0
2,Kmeans,0.370183,0
2,Kmeans,0.451064,0
2,Kmeans,0.461863,0
2,Kmeans,0.424609,1
2,Kmeans,0.537198,0
2,Kmeans,0.317442,1
2,Kmeans,0.39513,0
2,Kmeans,-0.046402,1
2,Kmeans,0.53153,0
2,Kmeans,0.472673,0
2,Kmeans,0.456281,0
2,Kmeans,0.456249,1
2,Kmeans,0.401747,0
2,Kmeans,0.448322,1
2,Kmeans,0.316329,1
2,Kmeans,0.410093,0
2,Kmeans,0.537541,0
2,Kmeans,0.391405,0
2,Kmeans,0.35859,0
2,Kmeans,0.454894,0
2,Kmeans,0.480001,0
2,Kmeans,0.404935,0
2,Kmeans,0.440237,0
2,Kmeans,0.486897,0
2,Kmeans,0.358966,0
2,Kmeans,0.456543,0
2,Kmeans,0.447432,0
2,Kmeans,0.312715,0
2,Kmeans,0.268921,1
2,Kmeans,0.516576,0
2,Kmeans,0.338093,0
2,Kmeans,0.501979,0
2,Kmeans,0.066902,1
2,Kmeans,0.369933,1
2,Kmeans,0.374673,0
2,Kmeans,0.479129,0
2,Kmeans,0.32949,1
2,Kmeans,0.097425,1
2,Kmeans,0.497466,0
2,Kmeans,0.443033,0
2,Kmeans,0.348549,1
2,Kmeans,0.332574,0
2,Kmeans,-0.036214,1
2,Kmeans,0.463769,0
2,Kmeans,0.453653,0
2,Kmeans,0.352607,1
2,Kmeans,0.42925,0
2,Kmeans,0.284946,0
2,Kmeans,0.397166,0
2,Kmeans,0.410558,0
2,Kmeans,0.515844,0
2,Kmeans,0.328308,0
2,Kmeans,0.431846,0
2,Kmeans,0.45852,0
