k,GMM,Kmeans
2,0.347328908080051,0.3560599618393924
3,0.2077348057590369,0.25080782398752643
4,0.1848255806160113,0.25262351278899936
5,0.14507152868569365,0.22237905498069388
6,0.11047968214818105,0.2248241600812184
7,0.15583405710682888,0.2450168150143795
8,0.14141379572615584,0.2467329569244492
9,0.12613899587615818,0.24611551480403
10,0.12600744477800851,0.25269795062738
15,0.12691678292105413,0.22734948157417864
20,0.12600893534945867,0.23030178879868235
25,0.1256710838786697,0.23045750600218626
30,0.13458528323097232,0.2252960853746151
35,0.11238646000837021,0.21462906893970896
40,0.09699899075610476,0.2114191158615186
