,0,1,2,3,4,5,6,7,8,9
2,0.9113578441648458,0.9277100387233059,0.8990973522150643,0.8472718041229569,0.8406734514234602,0.8626453479552697,0.8834770655343834,0.895189636090015,0.8489220820690612,0.8754965434573787
3,0.7969385797267055,0.7977497319814244,0.825252635453153,0.805354963758045,0.8249133388069908,0.8323085196078459,0.8511399633156543,0.8172073796531796,0.7529790798605249,0.7493170504612425
4,0.7443919956349423,0.825532455112364,0.7403651695420295,0.686707680479752,0.7251383902718218,0.7578920439505492,0.8457244779891712,0.7795851687886991,0.7393621692530484,0.7430562520941716
5,0.6557840156768271,0.7108889819312909,0.6964569665309136,0.6995514186918906,0.7215852587139098,0.7257922294157406,0.5947839573828994,0.692415854315032,0.7296619543152559,0.7076686568100776
6,0.5171263754144076,0.600909910881115,0.559062623987624,0.6766277408821062,0.670436443911626,0.6866589680309237,0.5393881251682221,0.6624417432033844,0.6390560821164178,0.6162682040321692
7,0.6358192999878381,0.6376541671495479,0.4848613394105022,0.5288222839619805,0.49656690302508805,0.4955723812761628,0.5060783069829492,0.5893947559292182,0.5239173925962418,0.5687226291822385
8,0.5343404896366466,0.5691654189074724,0.4957908996803484,0.6357108378868894,0.4704506210873914,0.5299567836508059,0.5026519418832074,0.5213274842697823,0.5138144174237009,0.4389518082666839
9,0.38543913179138317,0.5135805678038865,0.4424864606105236,0.42106553394432783,0.46529952538584995,0.4778200603815218,0.39902530740655495,0.44144369970730113,0.40090946553249135,0.4009060616087875
10,0.32089581541212936,0.40198017988863516,0.3567534109638813,0.33348162071027226,0.39696888539155795,0.24880623480451938,0.4087322320461319,0.3257697843841926,0.34824553184694684,0.3449019000832833
15,0.12479384445902768,0.1341008912464393,0.09465330051757724,0.08477559243581023,0.08285629741184113,0.07100886771830675,0.06428056627400912,0.20051699819746174,0.07626064556625273,0.05971185538184763
20,1.7482566966340352e-30,3.655625143212535e-30,3.418117709601457e-30,2.806758788136361e-30,4.5568788694427536e-30,2.169477900152352e-30,2.0846347831210632e-30,1.6309596964726375e-30,7.35215118324346e-30,2.1852109107226983e-30
25,2.0538715739689324e-30,3.4225849877476196e-30,1.839700139438669e-30,2.3528235938205892e-30,8.934244300507282e-30,1.7699922002756446e-30,3.490195821533037e-30,1.1783157494857582e-29,2.242056304382366e-30,1.3029076878159922e-29
30,2.0340517609569002e-30,1.7588709143664943e-30,1.763606697129612e-30,5.8634093691224685e-30,1.6381568880802268e-30,3.7341965066263285e-30,1.9557727832825897e-30,1.831519616691253e-29,1.3977206631075663e-30,1.6203805111449614e-30
35,1.1160183411369758e-30,2.4843900102310632e-30,1.2957267279721616e-30,8.057938116637741e-30,1.1696370508724218e-30,8.377309492782929e-30,1.3262641908731902e-30,6.120700623506185e-30,3.642699414855142e-30,7.744394441333716e-30
40,5.034851983533402e-30,2.157477313396485e-30,1.731959668058422e-30,2.5458347368248453e-30,9.263117950753528e-31,5.83632943928942e-30,2.2830746115172274e-30,5.498099367071155e-30,1.2927792658300266e-30,5.24387375586006e-30
45,2.137327298571049e-30,1.1380258175371128e-30,6.1707946338402946e-30,2.56037987498229e-30,1.2519403853209163e-29,8.281520589883108e-30,4.607011487852208e-30,2.2283106230866892e-30,9.571302983310593e-31,6.646755874910228e-30
50,4.0269401848708646e-30,9.404475415776115e-31,1.1455558357944129e-30,1.2325822537208054e-30,3.1158101209820076e-30,2.049099518684785e-30,6.60376958915022e-30,1.385872476655509e-30,2.3973980337946692e-30,3.229988560715235e-30
55,9.146231264679357e-30,1.5406647224490886e-30,1.7840905262862178e-30,1.2425577288191268e-30,1.8897403559166478e-30,1.4589833707470157e-30,1.2584332426063714e-30,1.3172393945271585e-30,3.810206834513812e-30,1.4777177316211411e-30
60,9.358242506220988e-31,1.190606776016541e-30,8.734607947237269e-31,1.3232341502090198e-30,1.4628559675430231e-30,9.043979032564046e-30,8.968781174971506e-31,6.543492820579871e-30,1.1485151867834846e-30,9.860774651884016e-30
